config_id,paired_index,seat_swap,hand_id,game_id,seed,street,turn,seat,hero_board,opponent_board,cards_to_place,dead_cards,baseline_action,stage8_action,fallback_action,final_action,baseline_action_index,stage8_action_index,final_action_index,override_fired,no_override_reason,hu_turn2_min_margin,hu_turn2_reference_min_margin,hu_turn2_gate_threshold,predicted_delta,gate_probability,reference_margin_raw,model_score,legality_check_result,runtime_latency_ms,candidate_seat_score,hand_seed
m2.5_r0_g0.9,0,ab,2026061801000000,2026061801000000,2026061801000000,T2,T2,first,"{'top': ['Jc'], 'middle': ['7s', '7h', '7c'], 'bottom': ['5d', 'Kd', '2d']}","{'top': ['Qh'], 'middle': ['3s', '4d', '4s'], 'bottom': ['Tc', '9s', 'Th']}","['2h', 'Qs', '4c']","['Qh', '3s', '4d', '4s', 'Tc', '9s', 'Th', '8h', '3c']","{'placements': [['Qs', 'top'], ['4c', 'middle']], 'discards': ['2h'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Jc', 'Qs'], 'middle': ['7s', '7h', '7c', '4c'], 'bottom': ['5d', 'Kd', '2d']}}","{'placements': [['Qs', 'top'], ['4c', 'middle']], 'discards': ['2h'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Jc', 'Qs'], 'middle': ['7s', '7h', '7c', '4c'], 'bottom': ['5d', 'Kd', '2d']}}","{'placements': [['Qs', 'top'], ['4c', 'middle']], 'discards': ['2h'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Jc', 'Qs'], 'middle': ['7s', '7h', '7c', '4c'], 'bottom': ['5d', 'Kd', '2d']}}","{'placements': [['Qs', 'top'], ['4c', 'middle']], 'discards': ['2h'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Jc', 'Qs'], 'middle': ['7s', '7h', '7c', '4c'], 'bottom': ['5d', 'Kd', '2d']}}",19,19,19,False,same_as_baseline,2.5,0.0,0.9,-1.3830723762512207,0.0004160380155881256,0.005763855010959773,-8.426133155822754,legal,26.728800003184006,31.196164,2026061801000000
m2.5_r0_g0.9,0,ba,2026061801000000,2026061801000000,2026061801000000,T2,T2,second,"{'top': ['Qh'], 'middle': ['3s', '4d', '4s'], 'bottom': ['Tc', '9s', 'Th']}","{'top': ['Jc', 'Qs'], 'middle': ['7s', '7h', '7c', '4c'], 'bottom': ['5d', 'Kd', '2d']}","['5h', '8s', 'Kc']","['Jc', 'Qs', '7s', '7h', '7c', '4c', '5d', 'Kd', '2d', '8h', '3c', '2h']","{'placements': [['5h', 'middle'], ['Kc', 'top']], 'discards': ['8s'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Qh', 'Kc'], 'middle': ['3s', '4d', '4s', '5h'], 'bottom': ['Tc', '9s', 'Th']}}","{'placements': [['5h', 'middle'], ['Kc', 'top']], 'discards': ['8s'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Qh', 'Kc'], 'middle': ['3s', '4d', '4s', '5h'], 'bottom': ['Tc', '9s', 'Th']}}","{'placements': [['5h', 'middle'], ['Kc', 'top']], 'discards': ['8s'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Qh', 'Kc'], 'middle': ['3s', '4d', '4s', '5h'], 'bottom': ['Tc', '9s', 'Th']}}","{'placements': [['5h', 'middle'], ['Kc', 'top']], 'discards': ['8s'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Qh', 'Kc'], 'middle': ['3s', '4d', '4s', '5h'], 'bottom': ['Tc', '9s', 'Th']}}",12,12,12,False,same_as_baseline,2.5,0.0,0.9,-3.255467414855957,0.00021751029626746498,0.2659326919844376,3.4062042236328125,legal,15.233999991323799,-31.196164,2026061801000000
m2.5_r0_g0.9,1,ab,2026061801000001,2026061801000001,2026061801000001,T2,T2,first,"{'top': ['Qd'], 'middle': ['Ks', 'Kd', 'Ad', '2h'], 'bottom': ['9c', '8h']}","{'top': ['Kc'], 'middle': ['4d', '4s'], 'bottom': ['9s', '8s', '7s', '6s']}","['Tc', 'As', 'Ts']","['Kc', '4d', '4s', '9s', '8s', '7s', '6s', '3c', '2c']","{'placements': [['Tc', 'bottom'], ['Ts', 'bottom']], 'discards': ['As'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Qd'], 'middle': ['Ks', 'Kd', 'Ad', '2h'], 'bottom': ['9c', '8h', 'Tc', 'Ts']}}","{'placements': [['Tc', 'bottom'], ['Ts', 'bottom']], 'discards': ['As'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Qd'], 'middle': ['Ks', 'Kd', 'Ad', '2h'], 'bottom': ['9c', '8h', 'Tc', 'Ts']}}","{'placements': [['Tc', 'bottom'], ['Ts', 'bottom']], 'discards': ['As'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Qd'], 'middle': ['Ks', 'Kd', 'Ad', '2h'], 'bottom': ['9c', '8h', 'Tc', 'Ts']}}","{'placements': [['Tc', 'bottom'], ['Ts', 'bottom']], 'discards': ['As'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Qd'], 'middle': ['Ks', 'Kd', 'Ad', '2h'], 'bottom': ['9c', '8h', 'Tc', 'Ts']}}",15,15,15,False,same_as_baseline,2.5,0.0,0.9,-3.005469799041748,0.00746135509856125,1.4710384673846897,0.5187373161315918,legal,17.603299987968057,-10.0,2026061801000001
m2.5_r0_g0.9,1,ba,2026061801000001,2026061801000001,2026061801000001,T2,T2,second,"{'top': ['Kc'], 'middle': ['4d', '4s'], 'bottom': ['9s', '8s', '7s', '6s']}","{'top': ['Qd'], 'middle': ['Ks', 'Kd', 'Ad', '2h'], 'bottom': ['9c', '8h', 'Tc', 'Ts']}","['Ah', 'Th', '6d']","['Qd', 'Ks', 'Kd', 'Ad', '2h', '9c', '8h', 'Tc', 'Ts', '3c', '2c', 'As']","{'placements': [['Ah', 'top'], ['Th', 'bottom']], 'discards': ['6d'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Kc', 'Ah'], 'middle': ['4d', '4s'], 'bottom': ['9s', '8s', '7s', '6s', 'Th']}}","{'placements': [['Ah', 'top'], ['6d', 'middle']], 'discards': ['Th'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Kc', 'Ah'], 'middle': ['4d', '4s', '6d'], 'bottom': ['9s', '8s', '7s', '6s']}}","{'placements': [['Ah', 'top'], ['Th', 'bottom']], 'discards': ['6d'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Kc', 'Ah'], 'middle': ['4d', '4s'], 'bottom': ['9s', '8s', '7s', '6s', 'Th']}}","{'placements': [['Ah', 'top'], ['Th', 'bottom']], 'discards': ['6d'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Kc', 'Ah'], 'middle': ['4d', '4s'], 'bottom': ['9s', '8s', '7s', '6s', 'Th']}}",2,9,2,False,below_gate_threshold,2.5,0.0,0.9,3.3443474769592285,0.023842790631228246,0.20669583549599935,3.6963186264038086,legal,20.166600006632507,10.0,2026061801000001
m2.5_r0_g0.9,2,ab,2026061801000002,2026061801000002,2026061801000002,T2,T2,first,"{'top': ['Kh'], 'middle': ['7d', '5h', '3d'], 'bottom': ['9s', '9d', 'Js']}","{'top': ['Qh', 'Tc'], 'middle': ['Ah', 'Ks', '8c'], 'bottom': ['3c', '2h']}","['As', '9h', 'Jc']","['Qh', 'Tc', 'Ah', 'Ks', '8c', '3c', '2h', '6h', '7h']","{'placements': [['9h', 'bottom'], ['Jc', 'bottom']], 'discards': ['As'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Kh'], 'middle': ['7d', '5h', '3d'], 'bottom': ['9s', '9d', 'Js', '9h', 'Jc']}}","{'placements': [['9h', 'bottom'], ['Jc', 'bottom']], 'discards': ['As'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Kh'], 'middle': ['7d', '5h', '3d'], 'bottom': ['9s', '9d', 'Js', '9h', 'Jc']}}","{'placements': [['9h', 'bottom'], ['Jc', 'bottom']], 'discards': ['As'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Kh'], 'middle': ['7d', '5h', '3d'], 'bottom': ['9s', '9d', 'Js', '9h', 'Jc']}}","{'placements': [['9h', 'bottom'], ['Jc', 'bottom']], 'discards': ['As'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Kh'], 'middle': ['7d', '5h', '3d'], 'bottom': ['9s', '9d', 'Js', '9h', 'Jc']}}",26,26,26,False,same_as_baseline,2.5,0.0,0.9,0.6299738883972168,0.17352300256569309,2.90293268537158,4.901147842407227,legal,18.203899991931394,12.0,2026061801000002
m2.5_r0_g0.9,2,ba,2026061801000002,2026061801000002,2026061801000002,T2,T2,second,"{'top': ['Qh', 'Tc'], 'middle': ['Ah', 'Ks', '8c'], 'bottom': ['3c', '2h']}","{'top': ['Kh'], 'middle': ['7d', '5h', '3d'], 'bottom': ['9s', '9d', 'Js', '9h', 'Jc']}","['Td', '2d', '4s']","['Kh', '7d', '5h', '3d', '9s', '9d', 'Js', '9h', 'Jc', '6h', '7h', 'As']","{'placements': [['Td', 'middle'], ['2d', 'bottom']], 'discards': ['4s'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Qh', 'Tc'], 'middle': ['Ah', 'Ks', '8c', 'Td'], 'bottom': ['3c', '2h', '2d']}}","{'placements': [['2d', 'bottom'], ['4s', 'bottom']], 'discards': ['Td'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Qh', 'Tc'], 'middle': ['Ah', 'Ks', '8c'], 'bottom': ['3c', '2h', '2d', '4s']}}","{'placements': [['Td', 'middle'], ['2d', 'bottom']], 'discards': ['4s'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Qh', 'Tc'], 'middle': ['Ah', 'Ks', '8c', 'Td'], 'bottom': ['3c', '2h', '2d']}}","{'placements': [['Td', 'middle'], ['2d', 'bottom']], 'discards': ['4s'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Qh', 'Tc'], 'middle': ['Ah', 'Ks', '8c', 'Td'], 'bottom': ['3c', '2h', '2d']}}",4,23,4,False,below_stage8_margin,2.5,0.0,0.9,-3.1643972396850586,2.26944008689536e-05,0.08473375704666397,-10.709716796875,legal,13.728899997659028,-12.0,2026061801000002
m2.5_r0_g0.9,3,ab,2026061801000003,2026061801000003,2026061801000003,T2,T2,first,"{'top': ['Ks'], 'middle': ['Jd', '7s', '8d'], 'bottom': ['8c', '3c', '4c']}","{'top': [], 'middle': ['5s', '7c', '9h'], 'bottom': ['2d', '2c', 'Td', '2s']}","['Kc', 'Tc', 'As']","['5s', '7c', '9h', '2d', '2c', 'Td', '2s', '6s', '6c']","{'placements': [['Kc', 'bottom'], ['Tc', 'bottom']], 'discards': ['As'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Ks'], 'middle': ['Jd', '7s', '8d'], 'bottom': ['8c', '3c', '4c', 'Kc', 'Tc']}}","{'placements': [['Kc', 'bottom'], ['Tc', 'bottom']], 'discards': ['As'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Ks'], 'middle': ['Jd', '7s', '8d'], 'bottom': ['8c', '3c', '4c', 'Kc', 'Tc']}}","{'placements': [['Kc', 'bottom'], ['Tc', 'bottom']], 'discards': ['As'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Ks'], 'middle': ['Jd', '7s', '8d'], 'bottom': ['8c', '3c', '4c', 'Kc', 'Tc']}}","{'placements': [['Kc', 'bottom'], ['Tc', 'bottom']], 'discards': ['As'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Ks'], 'middle': ['Jd', '7s', '8d'], 'bottom': ['8c', '3c', '4c', 'Kc', 'Tc']}}",8,8,8,False,same_as_baseline,2.5,0.0,0.9,-0.2891373634338379,0.0004779960695172585,0.6599061954975607,1.119105339050293,legal,15.258900006301701,-12.0,2026061801000003
m2.5_r0_g0.9,3,ba,2026061801000003,2026061801000003,2026061801000003,T2,T2,second,"{'top': [], 'middle': ['5s', '7c', '9h'], 'bottom': ['2d', '2c', 'Td', '2s']}","{'top': ['Ks'], 'middle': ['Jd', '7s', '8d'], 'bottom': ['8c', '3c', '4c', 'Kc', 'Tc']}","['6h', '8h', '3h']","['Ks', 'Jd', '7s', '8d', '8c', '3c', '4c', 'Kc', 'Tc', '6s', '6c', 'As']","{'placements': [['6h', 'middle'], ['8h', 'top']], 'discards': ['3h'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['8h'], 'middle': ['5s', '7c', '9h', '6h'], 'bottom': ['2d', '2c', 'Td', '2s']}}","{'placements': [['6h', 'top'], ['3h', 'middle']], 'discards': ['8h'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['6h'], 'middle': ['5s', '7c', '9h', '3h'], 'bottom': ['2d', '2c', 'Td', '2s']}}","{'placements': [['6h', 'middle'], ['8h', 'top']], 'discards': ['3h'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['8h'], 'middle': ['5s', '7c', '9h', '6h'], 'bottom': ['2d', '2c', 'Td', '2s']}}","{'placements': [['6h', 'middle'], ['8h', 'top']], 'discards': ['3h'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['8h'], 'middle': ['5s', '7c', '9h', '6h'], 'bottom': ['2d', '2c', 'Td', '2s']}}",3,9,3,False,below_stage8_margin,2.5,0.0,0.9,-4.541865825653076,1.1758125409579307e-06,0.050147530591171385,-3.4329991340637207,legal,16.523400001460686,12.0,2026061801000003
m2.5_r0_g0.9,4,ab,2026061801000004,2026061801000004,2026061801000004,T2,T2,first,"{'top': ['Ac'], 'middle': ['6c', '7d'], 'bottom': ['4c', '4d', 'Jh', '4h']}","{'top': ['Qc'], 'middle': ['Kd', '8d', '8h'], 'bottom': ['Js', '3c', 'Jc']}","['Tc', 'Qs', '2h']","['Qc', 'Kd', '8d', '8h', 'Js', '3c', 'Jc', '2d', '7c']","{'placements': [['Qs', 'top'], ['2h', 'middle']], 'discards': ['Tc'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Ac', 'Qs'], 'middle': ['6c', '7d', '2h'], 'bottom': ['4c', '4d', 'Jh', '4h']}}","{'placements': [['Qs', 'top'], ['2h', 'middle']], 'discards': ['Tc'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Ac', 'Qs'], 'middle': ['6c', '7d', '2h'], 'bottom': ['4c', '4d', 'Jh', '4h']}}","{'placements': [['Qs', 'top'], ['2h', 'middle']], 'discards': ['Tc'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Ac', 'Qs'], 'middle': ['6c', '7d', '2h'], 'bottom': ['4c', '4d', 'Jh', '4h']}}","{'placements': [['Qs', 'top'], ['2h', 'middle']], 'discards': ['Tc'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Ac', 'Qs'], 'middle': ['6c', '7d', '2h'], 'bottom': ['4c', '4d', 'Jh', '4h']}}",17,17,17,False,same_as_baseline,2.5,0.0,0.9,-5.160324573516846,0.000837116798714417,0.02915874420212372,-3.182393789291382,legal,14.219500008039176,-16.0,2026061801000004
m2.5_r0_g0.9,4,ba,2026061801000004,2026061801000004,2026061801000004,T2,T2,second,"{'top': ['Qc'], 'middle': ['Kd', '8d', '8h'], 'bottom': ['Js', '3c', 'Jc']}","{'top': ['Ac', 'Qs'], 'middle': ['6c', '7d', '2h'], 'bottom': ['4c', '4d', 'Jh', '4h']}","['5h', 'Ks', '9h']","['Ac', 'Qs', '6c', '7d', '2h', '4c', '4d', 'Jh', '4h', '2d', '7c', 'Tc']","{'placements': [['Ks', 'middle'], ['9h', 'top']], 'discards': ['5h'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Qc', '9h'], 'middle': ['Kd', '8d', '8h', 'Ks'], 'bottom': ['Js', '3c', 'Jc']}}","{'placements': [['5h', 'middle'], ['Ks', 'middle']], 'discards': ['9h'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Qc'], 'middle': ['Kd', '8d', '8h', '5h', 'Ks'], 'bottom': ['Js', '3c', 'Jc']}}","{'placements': [['Ks', 'middle'], ['9h', 'top']], 'discards': ['5h'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Qc', '9h'], 'middle': ['Kd', '8d', '8h', 'Ks'], 'bottom': ['Js', '3c', 'Jc']}}","{'placements': [['Ks', 'middle'], ['9h', 'top']], 'discards': ['5h'], 'score': 0.0, 'future_count': 0, 'non_bust_future_count': 0, 'next_board': {'top': ['Qc', '9h'], 'middle': ['Kd', '8d', '8h', 'Ks'], 'bottom': ['Js', '3c', 'Jc']}}",21,4,21,False,below_stage8_margin,2.5,0.0,0.9,1.096867561340332,0.06290646612871363,0.2966244821190065,4.028831481933594,legal,15.148999984376132,16.0,2026061801000004
