config_id,bucket_type,bucket,decision_count,override_count
m2.5_r0_g0.9,no_override_reason,same_as_baseline,824,0
m2.5_r0_g0.9,no_override_reason,below_gate_threshold,45,0
m2.5_r0_g0.9,no_override_reason,below_stage8_margin,925,0
m2.5_r0_g0.9,no_override_reason,,6,6
m2.5_r0_g0.9,override_fired,False,1794,0
m2.5_r0_g0.9,override_fired,True,6,6
m2.5_r0_g0.85,no_override_reason,same_as_baseline,824,0
m2.5_r0_g0.85,no_override_reason,below_gate_threshold,44,0
m2.5_r0_g0.85,no_override_reason,below_stage8_margin,925,0
m2.5_r0_g0.85,no_override_reason,,7,7
m2.5_r0_g0.85,override_fired,False,1793,0
m2.5_r0_g0.85,override_fired,True,7,7
m2.75_r0_g0.9,no_override_reason,same_as_baseline,824,0
m2.75_r0_g0.9,no_override_reason,below_gate_threshold,37,0
m2.75_r0_g0.9,no_override_reason,below_stage8_margin,933,0
m2.75_r0_g0.9,no_override_reason,,6,6
m2.75_r0_g0.9,override_fired,False,1794,0
m2.75_r0_g0.9,override_fired,True,6,6
m2.75_r0_g0.85,no_override_reason,same_as_baseline,824,0
m2.75_r0_g0.85,no_override_reason,below_gate_threshold,36,0
m2.75_r0_g0.85,no_override_reason,below_stage8_margin,933,0
m2.75_r0_g0.85,no_override_reason,,7,7
m2.75_r0_g0.85,override_fired,False,1793,0
m2.75_r0_g0.85,override_fired,True,7,7
