oracle_candidate_id,proxy_id,proxy_family,oracle_fires,proxy_fires,intersection,precision_vs_oracle,recall_vs_oracle,jaccard_overlap,rows
confidence_lcb196_m2p5_r0_g0p7,A_m2_g0.7,predicted_delta_gate,202,365,202,0.5534246575342465,1.0,0.5534246575342465,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.7_pm0.25,predicted_delta_gate_ev_margin,202,308,178,0.577922077922078,0.8811881188118812,0.536144578313253,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.7_pm0.5,predicted_delta_gate_ev_margin,202,270,152,0.562962962962963,0.7524752475247525,0.475,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.7_pm0.75,predicted_delta_gate_ev_margin,202,230,131,0.5695652173913044,0.6485148514851485,0.43521594684385384,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.7_pm1,predicted_delta_gate_ev_margin,202,188,107,0.5691489361702128,0.5297029702970297,0.37809187279151946,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.7_k1,predicted_delta_gate_rank_guard,202,289,159,0.5501730103806228,0.7871287128712872,0.4789156626506024,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.7_k2,predicted_delta_gate_rank_guard,202,328,180,0.5487804878048781,0.8910891089108911,0.5142857142857142,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.7_k3,predicted_delta_gate_rank_guard,202,350,193,0.5514285714285714,0.9554455445544554,0.5376044568245125,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.7_k5,predicted_delta_gate_rank_guard,202,357,198,0.5546218487394958,0.9801980198019802,0.5484764542936288,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.7_l0.5,runtime_lcb_proxy,202,298,178,0.5973154362416108,0.8811881188118812,0.5527950310559007,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.7_l1,runtime_lcb_proxy,202,284,175,0.6161971830985915,0.8663366336633663,0.5627009646302251,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.7_l1.64,runtime_lcb_proxy,202,256,162,0.6328125,0.801980198019802,0.5472972972972973,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.7_l1.96,runtime_lcb_proxy,202,248,158,0.6370967741935484,0.7821782178217822,0.541095890410959,6006
confidence_lcb196_m2p5_r0_g0p7,E_m2_g0.7,source_filtered_runtime_proxy,202,263,143,0.5437262357414449,0.7079207920792079,0.4440993788819876,6006
confidence_lcb196_m2p5_r0_g0p7,A_m2_g0.75,predicted_delta_gate,202,362,201,0.5552486187845304,0.995049504950495,0.5537190082644629,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.75_pm0.25,predicted_delta_gate_ev_margin,202,305,177,0.580327868852459,0.8762376237623762,0.5363636363636364,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.75_pm0.5,predicted_delta_gate_ev_margin,202,268,151,0.5634328358208955,0.7475247524752475,0.47335423197492166,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.75_pm0.75,predicted_delta_gate_ev_margin,202,228,130,0.5701754385964912,0.6435643564356436,0.43333333333333335,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.75_pm1,predicted_delta_gate_ev_margin,202,187,106,0.5668449197860963,0.5247524752475248,0.3745583038869258,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.75_k1,predicted_delta_gate_rank_guard,202,286,158,0.5524475524475524,0.7821782178217822,0.47878787878787876,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.75_k2,predicted_delta_gate_rank_guard,202,325,179,0.5507692307692308,0.8861386138613861,0.514367816091954,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.75_k3,predicted_delta_gate_rank_guard,202,347,192,0.553314121037464,0.9504950495049505,0.5378151260504201,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.75_k5,predicted_delta_gate_rank_guard,202,354,197,0.556497175141243,0.9752475247524752,0.5487465181058496,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.75_l0.5,runtime_lcb_proxy,202,296,177,0.597972972972973,0.8762376237623762,0.5514018691588785,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.75_l1,runtime_lcb_proxy,202,283,174,0.6148409893992933,0.8613861386138614,0.5594855305466238,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.75_l1.64,runtime_lcb_proxy,202,255,161,0.6313725490196078,0.7970297029702971,0.543918918918919,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.75_l1.96,runtime_lcb_proxy,202,247,157,0.6356275303643725,0.7772277227722773,0.5376712328767124,6006
confidence_lcb196_m2p5_r0_g0p7,E_m2_g0.75,source_filtered_runtime_proxy,202,260,142,0.5461538461538461,0.7029702970297029,0.44375,6006
confidence_lcb196_m2p5_r0_g0p7,A_m2_g0.8,predicted_delta_gate,202,355,201,0.5661971830985916,0.995049504950495,0.5646067415730337,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.8_pm0.25,predicted_delta_gate_ev_margin,202,302,177,0.5860927152317881,0.8762376237623762,0.5412844036697247,6006
