config_id,hu_turn2_min_margin,hu_turn2_reference_min_margin,hu_turn2_gate_threshold,seed,paired_seeds,hands,ev_per_hand,paired_score_mean,paired_score_std_error,paired_score_ci95_low,paired_score_ci95_high,paired_seed_wins,paired_seed_losses,paired_seed_ties,decision_count,override_count,override_rate,no_override_reason_counts,elapsed_seconds
m2.5_r0_g0.9,2.5,0.0,0.9,2026061901,1000,2000,-0.036196163999999996,-0.036196163999999996,0.021005737141600034,-0.07736740879753606,0.004975080797536072,0,5,995,2000,11,0.0055,"{""below_gate_threshold"": 55, ""below_stage8_margin"": 949, ""same_as_baseline"": 985}",269.29216837882996
m2.5_r0_g0.9,2.5,0.0,0.9,2026061902,1000,2000,0.035196163999999995,0.035196163999999995,0.02294314586405431,-0.009772401893546452,0.08016472989354645,5,1,994,2000,12,0.006,"{""below_gate_threshold"": 46, ""below_stage8_margin"": 984, ""same_as_baseline"": 958}",430.4767875671387
m2.5_r0_g0.9,2.5,0.0,0.9,2026061903,1000,2000,0.011098082,0.011098082,0.01079642243486412,-0.010062905972333674,0.03225906997233367,3,1,996,2000,6,0.003,"{""below_gate_threshold"": 42, ""below_stage8_margin"": 981, ""same_as_baseline"": 971}",258.346932888031
m2.5_r0_g0.9,2.5,0.0,0.9,2026061904,1000,2000,-0.028598081999999997,-0.028598081999999997,0.018842332904763656,-0.06552905449333676,0.00833289049333677,0,3,997,2000,7,0.0035,"{""below_gate_threshold"": 42, ""below_stage8_margin"": 1003, ""same_as_baseline"": 948}",351.61368322372437
m2.5_r0_g0.9,2.5,0.0,0.9,2026061905,1000,2000,-0.010598082,-0.010598082,0.010598081999999998,-0.031370322719999996,0.010174158719999995,0,1,999,2000,9,0.0045,"{""below_gate_threshold"": 42, ""below_stage8_margin"": 1035, ""same_as_baseline"": 914}",374.23672318458557
m2.75_r0_g0.9,2.75,0.0,0.9,2026061901,1000,2000,-0.036196163999999996,-0.036196163999999996,0.021005737141600034,-0.07736740879753606,0.004975080797536072,0,5,995,2000,11,0.0055,"{""below_gate_threshold"": 46, ""below_stage8_margin"": 958, ""same_as_baseline"": 985}",307.5769681930542
m2.75_r0_g0.9,2.75,0.0,0.9,2026061902,1000,2000,0.035196163999999995,0.035196163999999995,0.02294314586405431,-0.009772401893546452,0.08016472989354645,5,1,994,2000,10,0.005,"{""below_gate_threshold"": 36, ""below_stage8_margin"": 996, ""same_as_baseline"": 958}",392.56015515327454
m2.75_r0_g0.9,2.75,0.0,0.9,2026061903,1000,2000,0.011098082,0.011098082,0.01079642243486412,-0.010062905972333674,0.03225906997233367,3,1,996,2000,6,0.003,"{""below_gate_threshold"": 35, ""below_stage8_margin"": 988, ""same_as_baseline"": 971}",289.0285747051239
m2.75_r0_g0.9,2.75,0.0,0.9,2026061904,1000,2000,-0.028598081999999997,-0.028598081999999997,0.018842332904763656,-0.06552905449333676,0.00833289049333677,0,3,997,2000,7,0.0035,"{""below_gate_threshold"": 33, ""below_stage8_margin"": 1012, ""same_as_baseline"": 948}",258.7198255062103
m2.75_r0_g0.9,2.75,0.0,0.9,2026061905,1000,2000,-0.010598082,-0.010598082,0.010598081999999998,-0.031370322719999996,0.010174158719999995,0,1,999,2000,8,0.004,"{""below_gate_threshold"": 32, ""below_stage8_margin"": 1046, ""same_as_baseline"": 914}",270.39484667778015
m2.5_r0_g0.925,2.5,0.0,0.925,2026061901,1000,2000,-0.036196163999999996,-0.036196163999999996,0.021005737141600034,-0.07736740879753606,0.004975080797536072,0,5,995,2000,11,0.0055,"{""below_gate_threshold"": 55, ""below_stage8_margin"": 949, ""same_as_baseline"": 985}",268.03620409965515
m2.5_r0_g0.925,2.5,0.0,0.925,2026061902,1000,2000,0.035196163999999995,0.035196163999999995,0.02294314586405431,-0.009772401893546452,0.08016472989354645,5,1,994,2000,9,0.0045,"{""below_gate_threshold"": 49, ""below_stage8_margin"": 984, ""same_as_baseline"": 958}",373.7411322593689
m2.5_r0_g0.925,2.5,0.0,0.925,2026061903,1000,2000,0.011098082,0.011098082,0.01079642243486412,-0.010062905972333674,0.03225906997233367,3,1,996,2000,6,0.003,"{""below_gate_threshold"": 42, ""below_stage8_margin"": 981, ""same_as_baseline"": 971}",260.38645100593567
m2.5_r0_g0.925,2.5,0.0,0.925,2026061904,1000,2000,-0.028598081999999997,-0.028598081999999997,0.018842332904763656,-0.06552905449333676,0.00833289049333677,0,3,997,2000,6,0.003,"{""below_gate_threshold"": 43, ""below_stage8_margin"": 1003, ""same_as_baseline"": 948}",349.4228689670563
m2.5_r0_g0.925,2.5,0.0,0.925,2026061905,1000,2000,-0.010598082,-0.010598082,0.010598081999999998,-0.031370322719999996,0.010174158719999995,0,1,999,2000,8,0.004,"{""below_gate_threshold"": 43, ""below_stage8_margin"": 1035, ""same_as_baseline"": 914}",350.92369270324707
m2.5_r0_g0.7,2.5,0.0,0.7,2026061901,1000,2000,-0.036196163999999996,-0.036196163999999996,0.021053336905678333,-0.07746070433512953,0.005068376335129535,1,6,993,2000,19,0.0095,"{""below_gate_threshold"": 47, ""below_stage8_margin"": 949, ""same_as_baseline"": 985}",270.6540379524231
m2.5_r0_g0.7,2.5,0.0,0.7,2026061902,1000,2000,0.004598081999999998,0.004598081999999998,0.03355600317718606,-0.061171684227284674,0.07036784822728467,6,3,991,2000,21,0.0105,"{""below_gate_threshold"": 37, ""below_stage8_margin"": 984, ""same_as_baseline"": 958}",273.9972152709961
m2.5_r0_g0.7,2.5,0.0,0.7,2026061903,1000,2000,0.031196163999999995,0.031196163999999995,0.018190346346602156,-0.004456914839340232,0.06684924283934023,5,1,994,2000,10,0.005,"{""below_gate_threshold"": 38, ""below_stage8_margin"": 981, ""same_as_baseline"": 971}",277.3508095741272
m2.5_r0_g0.7,2.5,0.0,0.7,2026061904,1000,2000,-0.024098081999999996,-0.024098081999999996,0.0193788841183469,-0.06208069487195993,0.01388453087195993,1,3,996,2000,11,0.0055,"{""below_gate_threshold"": 38, ""below_stage8_margin"": 1003, ""same_as_baseline"": 948}",264.3336298465729
m2.5_r0_g0.7,2.5,0.0,0.7,2026061905,1000,2000,-0.010098082,-0.010098082,0.021729176562635396,-0.05268726806276538,0.032491104062765376,2,4,994,2000,20,0.01,"{""below_gate_threshold"": 31, ""below_stage8_margin"": 1035, ""same_as_baseline"": 914}",277.6341145038605
