row_type,config_id,fired_count,unique_fired_states,decision_count,override_rate,first_fired,second_fired,ev_per_hand,ci95_low,ci95_high,config_a,config_b,fired_a,fired_b,intersection_states,union_states,jaccard_overlap,same_action_overlap,same_action_overlap_rate,first_overlap,second_overlap,ev_per_hand_a,ev_per_hand_b,ev_diff_a_minus_b
config_summary,m2.5_r0_g0.7,81,81,10000,0.0081,38,43,-0.006919616399999999,-0.029893411143151635,0.016054178343151638,,,,,,,,,,,,,,
config_summary,m2.5_r0_g0.9,45,45,10000,0.0045,21,24,-0.0058196164,-0.03149834541900587,0.019859112619005866,,,,,,,,,,,,,,
config_summary,m2.5_r0_g0.925,40,40,10000,0.004,18,22,-0.0058196164,-0.03149834541900587,0.019859112619005866,,,,,,,,,,,,,,
config_summary,m2.75_r0_g0.9,42,42,10000,0.0042,20,22,-0.0058196164,-0.03149834541900587,0.019859112619005866,,,,,,,,,,,,,,
pairwise_overlap,,,,,,,,,,,m2.5_r0_g0.7,m2.5_r0_g0.9,81,45,45,81,0.5555555555555556,45,1.0,21,24,-0.006919616399999999,-0.0058196164,-0.0010999999999999994
pairwise_overlap,,,,,,,,,,,m2.5_r0_g0.7,m2.5_r0_g0.925,81,40,40,81,0.49382716049382713,40,1.0,18,22,-0.006919616399999999,-0.0058196164,-0.0010999999999999994
pairwise_overlap,,,,,,,,,,,m2.5_r0_g0.7,m2.75_r0_g0.9,81,42,42,81,0.5185185185185185,42,1.0,20,22,-0.006919616399999999,-0.0058196164,-0.0010999999999999994
pairwise_overlap,,,,,,,,,,,m2.5_r0_g0.9,m2.5_r0_g0.925,45,40,40,45,0.8888888888888888,40,1.0,18,22,-0.0058196164,-0.0058196164,0.0
pairwise_overlap,,,,,,,,,,,m2.5_r0_g0.9,m2.75_r0_g0.9,45,42,42,45,0.9333333333333333,42,1.0,20,22,-0.0058196164,-0.0058196164,0.0
pairwise_overlap,,,,,,,,,,,m2.5_r0_g0.925,m2.75_r0_g0.9,40,42,37,45,0.8222222222222222,37,1.0,17,20,-0.0058196164,-0.0058196164,0.0
