config_id,state_key,seed,hand_id,hand_seed,paired_index,seat,seat_swap,predicted_delta,gate_probability,predicted_ev_margin,candidate_rank,reference_margin_raw,model_score,candidate_seat_score,realized_delta_proxy,baseline_action_index,stage8_action_index,final_action_index,teacher_ev_gain_available,source_bucket_available,actual_bucket_available,failure_label
m2.5_r0_g0.7,"{""cards_to_place"":[""2d"",""3d"",""Td""],""dead_cards"":[""3s"",""7d"",""8d"",""9s"",""Ac"",""Kh"",""Qc"",""Qh"",""Ts""],""hand_id"":2026061901000258,""hero_board"":{""bottom"":[""4d"",""6d"",""9d""],""middle"":[""As"",""Js""],""top"":[""Kc"",""Ks""]},""opponent_board"":{""bottom"":[""7d"",""8d"",""9s"",""Ts""],""middle"":[""Ac""],""top"":[""Kh"",""Qc""]},""paired_index"":258,""seat"":""first"",""seat_swap"":""ab""}",2026061901000258,2026061901000258,2026061901000258,258,first,ab,3.383575916290283,0.9269971006910185,,,0.00010302803020234563,1.8719086647033691,-27.196164,-27.196164,15,7,7,0,0,0,tail_loss_audit_required
m2.5_r0_g0.7,"{""cards_to_place"":[""4c"",""Kc"",""Th""],""dead_cards"":[""2s"",""4s"",""5h"",""6h"",""9d"",""Ac"",""Kd"",""Kh"",""Ts""],""hand_id"":2026061901000387,""hero_board"":{""bottom"":[""Jd"",""Js""],""middle"":[""4d"",""4h"",""6s""],""top"":[""Ah"",""As""]},""opponent_board"":{""bottom"":[""5h"",""6h""],""middle"":[""9d"",""Ac"",""Ts""],""top"":[""Kd"",""Kh""]},""paired_index"":387,""seat"":""first"",""seat_swap"":""ab""}",2026061901000387,2026061901000387,2026061901000387,387,first,ab,3.2426414489746094,0.9938697361484538,,,0.19716406165875178,6.9016571044921875,-26.196164,-26.196164,14,22,22,0,0,0,tail_loss_audit_required
m2.5_r0_g0.7,"{""cards_to_place"":[""5d"",""Kh"",""Td""],""dead_cards"":[""3c"",""3s"",""4h"",""4s"",""6c"",""7c"",""8h"",""8s"",""Qc""],""hand_id"":2026061902000407,""hero_board"":{""bottom"":[""2s"",""5s"",""Ts""],""middle"":[""6d"",""Ac"",""Ah""],""top"":[""Kd""]},""opponent_board"":{""bottom"":[""3c"",""3s"",""4h"",""4s""],""middle"":[""6c"",""8h""],""top"":[""Qc""]},""paired_index"":407,""seat"":""first"",""seat_swap"":""ab""}",2026061902000407,2026061902000407,2026061902000407,407,first,ab,6.044044017791748,0.764739253531525,,,0.7226862613273966,7.4619550704956055,-25.196164,-25.196164,15,24,24,0,0,0,tail_loss_audit_required
m2.5_r0_g0.7,"{""cards_to_place"":[""2s"",""3h"",""7d""],""dead_cards"":[""5c"",""5h"",""5s"",""6s"",""7h"",""7s"",""Ad"",""Ah"",""As"",""Jc"",""Ks"",""Qd""],""hand_id"":2026061902000437,""hero_board"":{""bottom"":[""3c"",""3d"",""4d"",""4s""],""middle"":[""9d"",""9s""],""top"":[""Kc""]},""opponent_board"":{""bottom"":[""5h"",""5s"",""7h"",""7s""],""middle"":[""6s"",""Ad"",""Ah"",""Jc""],""top"":[""Qd""]},""paired_index"":437,""seat"":""second"",""seat_swap"":""ba""}",2026061902000437,2026061902000437,2026061902000437,437,second,ba,2.571140766143799,0.8165178393386499,,,0.03507229257452238,8.262378692626953,-25.196164,-25.196164,21,13,13,0,0,0,tail_loss_audit_required
m2.5_r0_g0.7,"{""cards_to_place"":[""5d"",""Js"",""Kd""],""dead_cards"":[""5c"",""5h"",""6s"",""Ah"",""Jc"",""Jh"",""Qc"",""Th"",""Ts""],""hand_id"":2026061902000603,""hero_board"":{""bottom"":[""2d"",""4d"",""4h"",""4s""],""middle"":[""8c"",""8h""],""top"":[""Kc""]},""opponent_board"":{""bottom"":[""Jc"",""Jh"",""Th"",""Ts""],""middle"":[""5h"",""Ah""],""top"":[""Qc""]},""paired_index"":603,""seat"":""first"",""seat_swap"":""ab""}",2026061902000603,2026061902000603,2026061902000603,603,first,ab,3.3764963150024414,0.9208740785150902,,,0.22615823119113898,7.514010429382324,-25.196164,-25.196164,17,3,3,0,0,0,tail_loss_audit_required
m2.5_r0_g0.7,"{""cards_to_place"":[""5h"",""9s"",""Kh""],""dead_cards"":[""3d"",""3h"",""4s"",""7h"",""7s"",""8c"",""9c"",""9d"",""As"",""Kd"",""Ks"",""Qd""],""hand_id"":2026061904000975,""hero_board"":{""bottom"":[""9h"",""Js""],""middle"":[""5c"",""5d"",""5s""],""top"":[""Qh"",""Qs""]},""opponent_board"":{""bottom"":[""3d"",""3h"",""9c"",""9d""],""middle"":[""As"",""Kd"",""Ks""],""top"":[""8c"",""Qd""]},""paired_index"":975,""seat"":""second"",""seat_swap"":""ba""}",2026061904000975,2026061904000975,2026061904000975,975,second,ba,3.628929615020752,0.9932951094738629,,,0.22392781180236287,3.1839146614074707,-25.196164,-25.196164,22,4,4,0,0,0,tail_loss_audit_required
m2.5_r0_g0.7,"{""cards_to_place"":[""7s"",""9c"",""Ac""],""dead_cards"":[""2c"",""2d"",""4c"",""5c"",""5h"",""6d"",""Qd"",""Qs"",""Tc""],""hand_id"":2026061905000184,""hero_board"":{""bottom"":[""Jc""],""middle"":[""4h"",""4s"",""5d"",""5s""],""top"":[""Ad"",""As""]},""opponent_board"":{""bottom"":[""2c"",""2d"",""6d""],""middle"":[""5c"",""5h""],""top"":[""Qd"",""Qs""]},""paired_index"":184,""seat"":""first"",""seat_swap"":""ab""}",2026061905000184,2026061905000184,2026061905000184,184,first,ab,6.510181903839111,0.9802297866727043,,,0.01361016112332969,5.7511444091796875,-25.196164,-25.196164,6,20,20,0,0,0,tail_loss_audit_required
m2.5_r0_g0.7,"{""cards_to_place"":[""5d"",""6d"",""Ts""],""dead_cards"":[""4d"",""4h"",""4s"",""5h"",""8d"",""8h"",""8s"",""9h"",""9s"",""Qc"",""Qh"",""Td""],""hand_id"":2026061905000060,""hero_board"":{""bottom"":[""3c"",""3h"",""6c"",""6s""],""middle"":[""Ac"",""Jh""],""top"":[""Kd""]},""opponent_board"":{""bottom"":[""4d"",""8d"",""Td""],""middle"":[""8h"",""8s"",""9h"",""9s""],""top"":[""Qc"",""Qh""]},""paired_index"":60,""seat"":""second"",""seat_swap"":""ba""}",2026061905000060,2026061905000060,2026061905000060,60,second,ba,3.2442116737365723,0.8446912343946059,,,0.10745237046098666,9.651633262634277,-18.196164,-18.196164,5,23,23,0,0,0,tail_loss_audit_required
m2.5_r0_g0.7,"{""cards_to_place"":[""Kd"",""Tc"",""Td""],""dead_cards"":[""4c"",""4s"",""6d"",""6h"",""8h"",""8s"",""9s"",""Ac"",""Jc"",""Ks"",""Qs"",""Ts""],""hand_id"":2026061903000108,""hero_board"":{""bottom"":[""4d"",""7d"",""9d""],""middle"":[""Ad"",""As""],""top"":[""Js"",""Kc""]},""opponent_board"":{""bottom"":[""6d"",""6h"",""8h"",""8s""],""middle"":[""9s"",""Ac"",""Ks""],""top"":[""Jc"",""Qs""]},""paired_index"":108,""seat"":""second"",""seat_swap"":""ba""}",2026061903000108,2026061903000108,2026061903000108,108,second,ba,4.364165782928467,0.8843218068366252,,,0.009113333151425707,10.68481731414795,-18.0,-18.0,2,5,5,0,0,0,tail_loss_audit_required
m2.5_r0_g0.7,"{""cards_to_place"":[""9s"",""Qd"",""Tc""],""dead_cards"":[""2s"",""3c"",""3d"",""3h"",""3s"",""4d"",""5h"",""6c"",""7s"",""8d"",""Ac"",""Kc""],""hand_id"":2026061902000869,""hero_board"":{""bottom"":[""8c"",""8h"",""8s"",""Ts""],""middle"":[""6h"",""9c"",""9h""],""top"":[]},""opponent_board"":{""bottom"":[""4d"",""5h"",""6c"",""7s"",""8d""],""middle"":[""2s"",""3c"",""Ac""],""top"":[""Kc""]},""paired_index"":869,""seat"":""second"",""seat_swap"":""ba""}",2026061902000869,2026061902000869,2026061902000869,869,second,ba,3.489795684814453,0.9633694742803558,,,0.41798841782422613,3.209062099456787,-17.196164,-17.196164,23,2,2,0,0,0,tail_loss_audit_required
