config_id,no_override_reason,count,rate,decision_count,reason_group
m2.5_r0_g0.7,below_stage8_margin,4952,0.4952,10000,below_predicted_delta
m2.5_r0_g0.7,same_as_baseline,4776,0.4776,10000,same_as_baseline
m2.5_r0_g0.7,below_gate_threshold,191,0.0191,10000,below_gate
m2.5_r0_g0.7,override_fired,81,0.0081,10000,override_fired
m2.5_r0_g0.9,below_stage8_margin,4952,0.4952,10000,below_predicted_delta
m2.5_r0_g0.9,same_as_baseline,4776,0.4776,10000,same_as_baseline
m2.5_r0_g0.9,below_gate_threshold,227,0.0227,10000,below_gate
m2.5_r0_g0.9,override_fired,45,0.0045,10000,override_fired
m2.5_r0_g0.925,below_stage8_margin,4952,0.4952,10000,below_predicted_delta
m2.5_r0_g0.925,same_as_baseline,4776,0.4776,10000,same_as_baseline
m2.5_r0_g0.925,below_gate_threshold,232,0.0232,10000,below_gate
m2.5_r0_g0.925,override_fired,40,0.004,10000,override_fired
m2.75_r0_g0.9,below_stage8_margin,5000,0.5,10000,below_predicted_delta
m2.75_r0_g0.9,same_as_baseline,4776,0.4776,10000,same_as_baseline
m2.75_r0_g0.9,below_gate_threshold,182,0.0182,10000,below_gate
m2.75_r0_g0.9,override_fired,42,0.0042,10000,override_fired
