hu_turn2_min_margin,hu_turn2_reference_min_margin,hu_turn2_gate_threshold,audit_states,override_count,override_rate_on_audit_set,high_mc_avg_gain_on_override,false_positive_count,false_positive_rate,p95_loss,p99_loss,max_loss,missed_positive_count
3.1,0.2,0.9,50,4,0.08,11.330392971923828,0,0.0,0.0,0.0,0.0,37
3.1,0.2,0.925,50,4,0.08,11.330392971923828,0,0.0,0.0,0.0,0.0,37
3.1,0.2,0.95,50,4,0.08,11.330392971923828,0,0.0,0.0,0.0,0.0,37
3.25,0.2,0.9,50,4,0.08,11.330392971923828,0,0.0,0.0,0.0,0.0,37
3.25,0.2,0.925,50,4,0.08,11.330392971923828,0,0.0,0.0,0.0,0.0,37
3.25,0.2,0.95,50,4,0.08,11.330392971923828,0,0.0,0.0,0.0,0.0,37
3.5,0.2,0.8,50,4,0.08,11.330392971923828,0,0.0,0.0,0.0,0.0,37
3.5,0.2,0.85,50,4,0.08,11.330392971923828,0,0.0,0.0,0.0,0.0,37
3.5,0.2,0.9,50,4,0.08,11.330392971923828,0,0.0,0.0,0.0,0.0,37
3.5,0.2,0.925,50,4,0.08,11.330392971923828,0,0.0,0.0,0.0,0.0,37
3.5,0.2,0.95,50,4,0.08,11.330392971923828,0,0.0,0.0,0.0,0.0,37
1.5,0.2,0.9,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
1.5,0.2,0.925,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
1.5,0.2,0.95,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
2.0,0.2,0.9,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
2.0,0.2,0.925,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
2.0,0.2,0.95,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
2.25,0.2,0.9,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
2.25,0.2,0.925,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
2.25,0.2,0.95,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
2.5,0.2,0.9,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
2.5,0.2,0.925,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
2.5,0.2,0.95,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
2.75,0.2,0.9,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
2.75,0.2,0.925,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
2.75,0.2,0.95,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
2.91,0.2,0.9,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
2.91,0.2,0.925,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
2.91,0.2,0.95,50,6,0.12,8.509803392903645,0,0.0,0.0,0.0,0.0,35
3.1,0.2,0.8,50,5,0.1,8.128633871679687,1,0.2,3.742722023437499,4.491266428125,4.678402529296875,37
3.1,0.2,0.85,50,5,0.1,8.128633871679687,1,0.2,3.742722023437499,4.491266428125,4.678402529296875,37
3.25,0.2,0.8,50,5,0.1,8.128633871679687,1,0.2,3.742722023437499,4.491266428125,4.678402529296875,37
3.25,0.2,0.85,50,5,0.1,8.128633871679687,1,0.2,3.742722023437499,4.491266428125,4.678402529296875,37
3.1,0.1,0.9,50,8,0.16,7.847057603393554,1,0.125,1.6224810037109365,2.3213958976171876,2.4961246210937507,35
3.1,0.1,0.925,50,8,0.16,7.847057603393554,1,0.125,1.6224810037109365,2.3213958976171876,2.4961246210937507,35
3.1,0.1,0.95,50,8,0.16,7.847057603393554,1,0.125,1.6224810037109365,2.3213958976171876,2.4961246210937507,35
3.25,0.1,0.9,50,8,0.16,7.847057603393554,1,0.125,1.6224810037109365,2.3213958976171876,2.4961246210937507,35
3.25,0.1,0.925,50,8,0.16,7.847057603393554,1,0.125,1.6224810037109365,2.3213958976171876,2.4961246210937507,35
3.25,0.1,0.95,50,8,0.16,7.847057603393554,1,0.125,1.6224810037109365,2.3213958976171876,2.4961246210937507,35
3.5,0.1,0.8,50,8,0.16,7.847057603393554,1,0.125,1.6224810037109365,2.3213958976171876,2.4961246210937507,35
