config_id,bucket_type,bucket,decision_count,override_count,run_group,avg_gain_on_override,false_positive_count,p95_loss
m2.75_r0_g0.95_k1,no_override_reason,same_as_baseline,821,0,stage8b_unrestricted,,,
m2.75_r0_g0.95_k1,no_override_reason,below_candidate_ev_rank,482,0,stage8b_unrestricted,,,
m2.75_r0_g0.95_k1,no_override_reason,,36,36,stage8b_unrestricted,,,
m2.75_r0_g0.95_k1,no_override_reason,below_stage8_margin,453,0,stage8b_unrestricted,,,
m2.75_r0_g0.95_k1,no_override_reason,below_gate_threshold,8,0,stage8b_unrestricted,,,
m2.75_r0_g0.95_k1,override_fired,False,1764,0,stage8b_unrestricted,,,
m2.75_r0_g0.95_k1,override_fired,True,36,36,stage8b_unrestricted,,,
m2.5_r0_g0.95_k1,no_override_reason,same_as_baseline,821,0,stage8b_unrestricted,,,
m2.5_r0_g0.95_k1,no_override_reason,below_candidate_ev_rank,482,0,stage8b_unrestricted,,,
m2.5_r0_g0.95_k1,no_override_reason,,44,44,stage8b_unrestricted,,,
m2.5_r0_g0.95_k1,no_override_reason,below_stage8_margin,443,0,stage8b_unrestricted,,,
m2.5_r0_g0.95_k1,no_override_reason,below_gate_threshold,10,0,stage8b_unrestricted,,,
m2.5_r0_g0.95_k1,override_fired,False,1756,0,stage8b_unrestricted,,,
m2.5_r0_g0.95_k1,override_fired,True,44,44,stage8b_unrestricted,,,
m2.75_r0_g0.95_k3,no_override_reason,same_as_baseline,821,0,stage8b_unrestricted,,,
m2.75_r0_g0.95_k3,no_override_reason,below_stage8_margin,747,0,stage8b_unrestricted,,,
m2.75_r0_g0.95_k3,no_override_reason,,46,46,stage8b_unrestricted,,,
m2.75_r0_g0.95_k3,no_override_reason,below_candidate_ev_rank,175,0,stage8b_unrestricted,,,
m2.75_r0_g0.95_k3,no_override_reason,below_gate_threshold,11,0,stage8b_unrestricted,,,
m2.75_r0_g0.95_k3,override_fired,False,1754,0,stage8b_unrestricted,,,
m2.75_r0_g0.95_k3,override_fired,True,46,46,stage8b_unrestricted,,,
m2.75_r0_g0.9_k1,no_override_reason,same_as_baseline,821,0,stage8b_unrestricted,,,
m2.75_r0_g0.9_k1,no_override_reason,below_candidate_ev_rank,482,0,stage8b_unrestricted,,,
m2.75_r0_g0.9_k1,no_override_reason,,37,37,stage8b_unrestricted,,,
m2.75_r0_g0.9_k1,no_override_reason,below_stage8_margin,453,0,stage8b_unrestricted,,,
m2.75_r0_g0.9_k1,no_override_reason,below_gate_threshold,7,0,stage8b_unrestricted,,,
m2.75_r0_g0.9_k1,override_fired,False,1763,0,stage8b_unrestricted,,,
m2.75_r0_g0.9_k1,override_fired,True,37,37,stage8b_unrestricted,,,
m2.75_r0_g0.95_seatfirst_k3,no_override_reason,same_as_baseline,420,0,stage8b_position_probe,,,
m2.75_r0_g0.95_seatfirst_k3,no_override_reason,seat_not_allowed,900,0,stage8b_position_probe,,,
m2.75_r0_g0.95_seatfirst_k3,no_override_reason,below_stage8_margin,363,0,stage8b_position_probe,,,
m2.75_r0_g0.95_seatfirst_k3,no_override_reason,below_candidate_ev_rank,91,0,stage8b_position_probe,,,
m2.75_r0_g0.95_seatfirst_k3,no_override_reason,,17,17,stage8b_position_probe,,,
m2.75_r0_g0.95_seatfirst_k3,no_override_reason,below_gate_threshold,9,0,stage8b_position_probe,,,
m2.75_r0_g0.95_seatfirst_k3,override_fired,False,1783,0,stage8b_position_probe,,,
m2.75_r0_g0.95_seatfirst_k3,override_fired,True,17,17,stage8b_position_probe,,,
m2.75_r0_g0.95_seatfirst_k1,no_override_reason,same_as_baseline,420,0,stage8b_position_probe,,,
m2.75_r0_g0.95_seatfirst_k1,no_override_reason,seat_not_allowed,900,0,stage8b_position_probe,,,
m2.75_r0_g0.95_seatfirst_k1,no_override_reason,below_candidate_ev_rank,246,0,stage8b_position_probe,,,
m2.75_r0_g0.95_seatfirst_k1,no_override_reason,below_stage8_margin,213,0,stage8b_position_probe,,,
m2.75_r0_g0.95_seatfirst_k1,no_override_reason,,14,14,stage8b_position_probe,,,
m2.75_r0_g0.95_seatfirst_k1,no_override_reason,below_gate_threshold,7,0,stage8b_position_probe,,,
m2.75_r0_g0.95_seatfirst_k1,override_fired,False,1786,0,stage8b_position_probe,,,
m2.75_r0_g0.95_seatfirst_k1,override_fired,True,14,14,stage8b_position_probe,,,
m2.5_r0_g0.95_seatfirst_k1,no_override_reason,same_as_baseline,420,0,stage8b_position_probe,,,
m2.5_r0_g0.95_seatfirst_k1,no_override_reason,seat_not_allowed,900,0,stage8b_position_probe,,,
m2.5_r0_g0.95_seatfirst_k1,no_override_reason,below_candidate_ev_rank,246,0,stage8b_position_probe,,,
m2.5_r0_g0.95_seatfirst_k1,no_override_reason,below_stage8_margin,208,0,stage8b_position_probe,,,
