config_id,metric,fired_count,decision_count,override_rate,mean,median,p10,p90,p95,min,max,no_override_reason_counts
m2.5_r0_g0.95_seatfirst_k3,predicted_delta,70,6000,0.011666666666666667,3.840766933986119,3.4705684185028076,2.6533408641815184,5.46625394821167,5.681611537933349,2.501584529876709,7.302744388580322,"{""below_candidate_ev_rank"": 292, ""below_gate_threshold"": 43, ""below_stage8_margin"": 1234, ""same_as_baseline"": 1361, ""seat_not_allowed"": 3000}"
m2.5_r0_g0.95_seatfirst_k3,gate_probability,70,6000,0.011666666666666667,0.9931238612187004,0.9983037581312888,0.9787678568293668,0.9998964591668361,0.9999268551186206,0.951203806732649,0.9999892744189625,"{""below_candidate_ev_rank"": 292, ""below_gate_threshold"": 43, ""below_stage8_margin"": 1234, ""same_as_baseline"": 1361, ""seat_not_allowed"": 3000}"
m2.5_r0_g0.95_seatfirst_k3,reference_margin_raw,70,6000,0.011666666666666667,0.2360914507493022,0.08160787524994095,0.009460887158708698,0.3604183960155822,0.9161125921943112,0.0005174425121481363,3.0211672742495637,"{""below_candidate_ev_rank"": 292, ""below_gate_threshold"": 43, ""below_stage8_margin"": 1234, ""same_as_baseline"": 1361, ""seat_not_allowed"": 3000}"
m2.5_r0_g0.95_seatfirst_k3,model_score,70,6000,0.011666666666666667,5.4177961281367715,5.086575031280518,0.39965071678161623,10.114991664886475,11.528249549865722,-4.924907207489014,14.366929054260254,"{""below_candidate_ev_rank"": 292, ""below_gate_threshold"": 43, ""below_stage8_margin"": 1234, ""same_as_baseline"": 1361, ""seat_not_allowed"": 3000}"
m2.5_r0_g0.95_seatfirst_k3,runtime_latency_ms,70,6000,0.011666666666666667,16.665958570333064,16.437450001831166,15.590059998794459,17.650890015647747,18.067064994829707,12.842299998737872,31.601900001987815,"{""below_candidate_ev_rank"": 292, ""below_gate_threshold"": 43, ""below_stage8_margin"": 1234, ""same_as_baseline"": 1361, ""seat_not_allowed"": 3000}"
m2.75_r0_g0.95_seatfirst_k3,predicted_delta,138,15000,0.0092,4.128687606341597,3.806325912475586,2.906586694717407,5.613837909698486,6.351420164108278,2.7513375282287598,10.992847442626953,"{""below_candidate_ev_rank"": 748, ""below_gate_threshold"": 76, ""below_stage8_margin"": 2994, ""same_as_baseline"": 3544, ""seat_not_allowed"": 7500}"
m2.75_r0_g0.95_seatfirst_k3,gate_probability,138,15000,0.0092,0.9914402254994613,0.9978847357131643,0.9727817983695247,0.9998802835885868,0.9999200253268694,0.951203806732649,0.9999892744189625,"{""below_candidate_ev_rank"": 748, ""below_gate_threshold"": 76, ""below_stage8_margin"": 2994, ""same_as_baseline"": 3544, ""seat_not_allowed"": 7500}"
m2.75_r0_g0.95_seatfirst_k3,reference_margin_raw,138,15000,0.0092,0.2634063902036432,0.09075335359702841,0.011725786089155399,0.6269459488603795,1.1505225493407658,2.218282297494767e-05,3.1228291255521103,"{""below_candidate_ev_rank"": 748, ""below_gate_threshold"": 76, ""below_stage8_margin"": 2994, ""same_as_baseline"": 3544, ""seat_not_allowed"": 7500}"
m2.75_r0_g0.95_seatfirst_k3,model_score,138,15000,0.0092,5.859222515769627,5.8715314865112305,0.4504480838775636,11.145767402648925,11.949990653991701,-4.924907207489014,21.632396697998047,"{""below_candidate_ev_rank"": 748, ""below_gate_threshold"": 76, ""below_stage8_margin"": 2994, ""same_as_baseline"": 3544, ""seat_not_allowed"": 7500}"
m2.75_r0_g0.95_seatfirst_k3,runtime_latency_ms,138,15000,0.0092,16.467535507863563,16.146199996001087,15.12172999791801,17.61048000480514,18.210615006682932,11.536699981661513,34.335400006966665,"{""below_candidate_ev_rank"": 748, ""below_gate_threshold"": 76, ""below_stage8_margin"": 2994, ""same_as_baseline"": 3544, ""seat_not_allowed"": 7500}"
m2.75_r0_g0.9_seatfirst_k3,predicted_delta,69,6000,0.0115,4.019435868746992,3.6937594413757324,2.8916018486022947,5.482115268707275,6.093666362762448,2.7513375282287598,7.302744388580322,"{""below_candidate_ev_rank"": 292, ""below_gate_threshold"": 27, ""below_stage8_margin"": 1251, ""same_as_baseline"": 1361, ""seat_not_allowed"": 3000}"
m2.75_r0_g0.9_seatfirst_k3,gate_probability,69,6000,0.0115,0.9856253907461909,0.9976826952836957,0.9487992100437728,0.9998611066694354,0.9999277088425895,0.9140861426981821,0.9999892744189625,"{""below_candidate_ev_rank"": 292, ""below_gate_threshold"": 27, ""below_stage8_margin"": 1251, ""same_as_baseline"": 1361, ""seat_not_allowed"": 3000}"
m2.75_r0_g0.9_seatfirst_k3,reference_margin_raw,69,6000,0.0115,0.29739513854894056,0.08551531944703328,0.007438162102179649,0.6193004079209701,1.5576633677569824,0.0005174425121481363,3.0211672742495637,"{""below_candidate_ev_rank"": 292, ""below_gate_threshold"": 27, ""below_stage8_margin"": 1251, ""same_as_baseline"": 1361, ""seat_not_allowed"": 3000}"
m2.75_r0_g0.9_seatfirst_k3,model_score,69,6000,0.0115,5.82909003202466,5.554879188537598,0.3649001121520997,11.136569023132326,11.834144401550292,-4.924907207489014,21.0849609375,"{""below_candidate_ev_rank"": 292, ""below_gate_threshold"": 27, ""below_stage8_margin"": 1251, ""same_as_baseline"": 1361, ""seat_not_allowed"": 3000}"
m2.75_r0_g0.9_seatfirst_k3,runtime_latency_ms,69,6000,0.0115,16.012214496225603,15.337199991336092,14.000220003072172,18.01823999849148,20.009220007341348,11.772099998779595,33.16730001824908,"{""below_candidate_ev_rank"": 292, ""below_gate_threshold"": 27, ""below_stage8_margin"": 1251, ""same_as_baseline"": 1361, ""seat_not_allowed"": 3000}"
