config_id,hu_turn2_min_margin,hu_turn2_reference_min_margin,hu_turn2_gate_threshold,hu_turn2_min_model_score,hu_turn2_allowed_seats,hu_turn2_candidate_ev_rank_max,seed,paired_seeds,hands,ev_per_hand,paired_score_mean,paired_score_std_error,paired_score_ci95_low,paired_score_ci95_high,paired_seed_wins,paired_seed_losses,paired_seed_ties,decision_count,override_count,override_rate,no_override_reason_counts,elapsed_seconds
m2.5_r0_g0.95_seatfirst_k3,2.5,0.0,0.95,,first,3,2026062001,1000,2000,-0.07708849200000001,-0.07708849200000001,0.03416310364302451,-0.14404817514032803,-0.010128808859671976,1,6,993,2000,15,0.0075,"{""below_candidate_ev_rank"": 95, ""below_gate_threshold"": 17, ""below_stage8_margin"": 407, ""same_as_baseline"": 466, ""seat_not_allowed"": 1000}",167.77232885360718
m2.5_r0_g0.95_seatfirst_k3,2.5,0.0,0.95,,first,3,2026062002,1000,2000,-0.010098081999999998,-0.010098081999999998,0.03731125112608977,-0.08322813420713594,0.06303197020713595,4,6,990,2000,26,0.013,"{""below_candidate_ev_rank"": 104, ""below_gate_threshold"": 17, ""below_stage8_margin"": 397, ""same_as_baseline"": 456, ""seat_not_allowed"": 1000}",166.22217178344727
m2.5_r0_g0.95_seatfirst_k3,2.5,0.0,0.95,,first,3,2026062003,1000,2000,0.082588492,0.082588492,0.03937066601931335,0.005421986602145837,0.15975499739785415,12,5,983,2000,29,0.0145,"{""below_candidate_ev_rank"": 93, ""below_gate_threshold"": 9, ""below_stage8_margin"": 430, ""same_as_baseline"": 439, ""seat_not_allowed"": 1000}",165.97954106330872
m2.75_r0_g0.9_seatfirst_k3,2.75,0.0,0.9,,first,3,2026062001,1000,2000,-0.06999041,-0.06999041,0.032242400861520325,-0.13318551568857984,-0.0067953043114201694,1,6,993,2000,15,0.0075,"{""below_candidate_ev_rank"": 95, ""below_gate_threshold"": 11, ""below_stage8_margin"": 413, ""same_as_baseline"": 466, ""seat_not_allowed"": 1000}",157.76458835601807
m2.75_r0_g0.9_seatfirst_k3,2.75,0.0,0.9,,first,3,2026062002,1000,2000,-0.005598082000000005,-0.005598082000000005,0.036997685205727715,-0.07811354500322633,0.06691738100322632,5,5,990,2000,26,0.013,"{""below_candidate_ev_rank"": 104, ""below_gate_threshold"": 11, ""below_stage8_margin"": 403, ""same_as_baseline"": 456, ""seat_not_allowed"": 1000}",162.26216077804565
m2.75_r0_g0.9_seatfirst_k3,2.75,0.0,0.9,,first,3,2026062003,1000,2000,0.09108849200000001,0.09108849200000001,0.0430783970401233,0.00665483380135834,0.17552215019864167,13,4,983,2000,28,0.014,"{""below_candidate_ev_rank"": 93, ""below_gate_threshold"": 5, ""below_stage8_margin"": 435, ""same_as_baseline"": 439, ""seat_not_allowed"": 1000}",163.06209254264832
m2.75_r0_g0.95_seatfirst_k3,2.75,0.0,0.95,,first,3,2026062001,1500,3000,-0.05005899466666667,-0.05005899466666667,0.02372590880286847,-0.09656177592028886,-0.003556213413044469,3,6,1491,3000,21,0.007,"{""below_candidate_ev_rank"": 141, ""below_gate_threshold"": 18, ""below_stage8_margin"": 601, ""same_as_baseline"": 719, ""seat_not_allowed"": 1500}",250.9464671611786
m2.75_r0_g0.95_seatfirst_k3,2.75,0.0,0.95,,first,3,2026062002,1500,3000,0.004333333333333333,0.004333333333333333,0.026424485159955803,-0.04745865758018004,0.05612532424684671,6,6,1488,3000,36,0.012,"{""below_candidate_ev_rank"": 155, ""below_gate_threshold"": 21, ""below_stage8_margin"": 618, ""same_as_baseline"": 670, ""seat_not_allowed"": 1500}",251.9373857975006
m2.75_r0_g0.95_seatfirst_k3,2.75,0.0,0.95,,first,3,2026062003,1500,3000,0.07845771599999998,0.07845771599999998,0.02878882188280153,0.022031625109708984,0.13488380689029097,16,4,1480,3000,34,0.011333333333333334,"{""below_candidate_ev_rank"": 146, ""below_gate_threshold"": 12, ""below_stage8_margin"": 624, ""same_as_baseline"": 684, ""seat_not_allowed"": 1500}",249.05737352371216
m2.75_r0_g0.95_seatfirst_k3,2.75,0.0,0.95,,first,3,2026062004,1500,3000,0.008196164,0.008196164,0.030965395873921275,-0.0524960119128857,0.0688883399128857,7,7,1486,3000,28,0.009333333333333334,"{""below_candidate_ev_rank"": 149, ""below_gate_threshold"": 14, ""below_stage8_margin"": 572, ""same_as_baseline"": 737, ""seat_not_allowed"": 1500}",244.92950701713562
m2.75_r0_g0.95_seatfirst_k3,2.75,0.0,0.95,,first,3,2026062005,1500,3000,-0.03752949733333333,-0.03752949733333333,0.02204920776748316,-0.08074594455760033,0.005686949890933671,3,7,1490,3000,19,0.006333333333333333,"{""below_candidate_ev_rank"": 157, ""below_gate_threshold"": 11, ""below_stage8_margin"": 579, ""same_as_baseline"": 734, ""seat_not_allowed"": 1500}",245.27107954025269
