config_id,bucket_type,bucket,decision_count,override_count
m2.5_r0_g0.95_seatfirst_k3,no_override_reason,same_as_baseline,1361,0
m2.5_r0_g0.95_seatfirst_k3,no_override_reason,seat_not_allowed,3000,0
m2.5_r0_g0.95_seatfirst_k3,no_override_reason,below_candidate_ev_rank,292,0
m2.5_r0_g0.95_seatfirst_k3,no_override_reason,below_stage8_margin,1234,0
m2.5_r0_g0.95_seatfirst_k3,no_override_reason,below_gate_threshold,43,0
m2.5_r0_g0.95_seatfirst_k3,no_override_reason,,70,70
m2.5_r0_g0.95_seatfirst_k3,override_fired,False,5930,0
m2.5_r0_g0.95_seatfirst_k3,override_fired,True,70,70
m2.75_r0_g0.9_seatfirst_k3,no_override_reason,same_as_baseline,1361,0
m2.75_r0_g0.9_seatfirst_k3,no_override_reason,seat_not_allowed,3000,0
m2.75_r0_g0.9_seatfirst_k3,no_override_reason,below_candidate_ev_rank,292,0
m2.75_r0_g0.9_seatfirst_k3,no_override_reason,below_stage8_margin,1251,0
m2.75_r0_g0.9_seatfirst_k3,no_override_reason,below_gate_threshold,27,0
m2.75_r0_g0.9_seatfirst_k3,no_override_reason,,69,69
m2.75_r0_g0.9_seatfirst_k3,override_fired,False,5931,0
m2.75_r0_g0.9_seatfirst_k3,override_fired,True,69,69
m2.75_r0_g0.95_seatfirst_k3,no_override_reason,same_as_baseline,3544,0
m2.75_r0_g0.95_seatfirst_k3,no_override_reason,seat_not_allowed,7500,0
m2.75_r0_g0.95_seatfirst_k3,no_override_reason,below_candidate_ev_rank,748,0
m2.75_r0_g0.95_seatfirst_k3,no_override_reason,below_stage8_margin,2994,0
m2.75_r0_g0.95_seatfirst_k3,no_override_reason,below_gate_threshold,76,0
m2.75_r0_g0.95_seatfirst_k3,no_override_reason,,138,138
m2.75_r0_g0.95_seatfirst_k3,override_fired,False,14862,0
m2.75_r0_g0.95_seatfirst_k3,override_fired,True,138,138
