split,group_field,group_value,threshold,rows,positive_labels,negative_labels,gray_labels,precision,recall,f1,pr_auc
test,c1e_split,enriched,0.8,2402,338,415,1649,0.7095959595959596,0.8313609467455622,0.7656675749318801,0.9044124935467557
test,c1e_split,enriched,0.9,2402,338,415,1649,0.7715877437325905,0.8195266272189349,0.7948350071736012,0.9044124935467557
test,c1e_split,enriched,0.95,2402,338,415,1649,0.8238805970149253,0.8165680473372781,0.8202080237741456,0.9044124935467557
test,c1e_split,unbiased,0.8,601,71,21,509,0.971830985915493,0.971830985915493,0.971830985915493,0.9980892418027595
test,c1e_split,unbiased,0.9,601,71,21,509,0.971830985915493,0.971830985915493,0.971830985915493,0.9980892418027595
test,c1e_split,unbiased,0.95,601,71,21,509,0.9857142857142858,0.971830985915493,0.9787234042553192,0.9980892418027595
test,position,first,0.8,1492,183,224,1085,0.7230046948356808,0.8415300546448088,0.7777777777777778,0.9091954162034991
test,position,first,0.9,1492,183,224,1085,0.765,0.8360655737704918,0.7989556135770236,0.9091954162034991
test,position,first,0.95,1492,183,224,1085,0.8172043010752689,0.8306010928961749,0.8238482384823849,0.9091954162034991
test,position,second,0.8,1511,226,212,1073,0.7716535433070866,0.8672566371681416,0.8166666666666667,0.9391761530527778
test,position,second,0.9,1511,226,212,1073,0.8391304347826087,0.8539823008849557,0.8464912280701755,0.9391761530527778
test,position,second,0.95,1511,226,212,1073,0.8812785388127854,0.8539823008849557,0.8674157303370786,0.9391761530527778
test,source_bucket,from_pool,0.8,1801,155,392,1254,0.4790697674418605,0.6645161290322581,0.5567567567567567,0.6793515640092983
test,source_bucket,from_pool,0.9,1801,155,392,1254,0.5586592178770949,0.6451612903225806,0.5988023952095808,0.6793515640092983
test,source_bucket,from_pool,0.95,1801,155,392,1254,0.6387096774193548,0.6387096774193548,0.6387096774193548,0.6793515640092983
test,source_bucket,natural,0.8,601,71,21,509,0.971830985915493,0.971830985915493,0.971830985915493,0.9980892418027595
test,source_bucket,natural,0.9,601,71,21,509,0.971830985915493,0.971830985915493,0.971830985915493,0.9980892418027595
test,source_bucket,natural,0.95,601,71,21,509,0.9857142857142858,0.971830985915493,0.9787234042553192,0.9980892418027595
test,source_bucket,random_off_policy,0.8,601,183,23,395,0.9834254143646409,0.9726775956284153,0.978021978021978,0.9991817159973784
test,source_bucket,random_off_policy,0.9,601,183,23,395,0.9833333333333333,0.9672131147540983,0.9752066115702478,0.9991817159973784
test,source_bucket,random_off_policy,0.95,601,183,23,395,0.9833333333333333,0.9672131147540983,0.9752066115702478,0.9991817159973784
test,bucket_group,natural,0.8,601,71,21,509,0.971830985915493,0.971830985915493,0.971830985915493,0.9980892418027595
test,bucket_group,natural,0.9,601,71,21,509,0.971830985915493,0.971830985915493,0.971830985915493,0.9980892418027595
test,bucket_group,natural,0.95,601,71,21,509,0.9857142857142858,0.971830985915493,0.9787234042553192,0.9980892418027595
test,bucket_group,predicted_high_regret,0.8,601,65,144,392,0.358695652173913,0.5076923076923077,0.4203821656050955,0.48337758486564636
test,bucket_group,predicted_high_regret,0.9,601,65,144,392,0.4025974025974026,0.47692307692307695,0.4366197183098592,0.48337758486564636
test,bucket_group,predicted_high_regret,0.95,601,65,144,392,0.5,0.46153846153846156,0.48000000000000004,0.48337758486564636
test,bucket_group,predicted_low_margin,0.8,600,52,128,420,0.5882352941176471,0.7692307692307693,0.6666666666666667,0.7789258030151216
test,bucket_group,predicted_low_margin,0.9,600,52,128,420,0.6610169491525424,0.75,0.7027027027027027,0.7789258030151216
test,bucket_group,predicted_low_margin,0.95,600,52,128,420,0.7222222222222222,0.75,0.7358490566037735,0.7789258030151216
test,bucket_group,predicted_teacher_disagreement,0.8,600,38,120,442,0.5454545454545454,0.7894736842105263,0.6451612903225806,0.8592651595348911
test,bucket_group,predicted_teacher_disagreement,0.9,600,38,120,442,0.6976744186046512,0.7894736842105263,0.7407407407407408,0.8592651595348911
test,bucket_group,predicted_teacher_disagreement,0.95,600,38,120,442,0.7317073170731707,0.7894736842105263,0.7594936708860759,0.8592651595348911
test,bucket_group,random_off_policy,0.8,601,183,23,395,0.9834254143646409,0.9726775956284153,0.978021978021978,0.9991817159973784
test,bucket_group,random_off_policy,0.9,601,183,23,395,0.9833333333333333,0.9672131147540983,0.9752066115702478,0.9991817159973784
test,bucket_group,random_off_policy,0.95,601,183,23,395,0.9833333333333333,0.9672131147540983,0.9752066115702478,0.9991817159973784
test,actual_high_regret,False,0.8,2254,39,399,1816,0.2446043165467626,0.8717948717948718,0.38202247191011235,0.7416240716208435
test,actual_high_regret,False,0.9,2254,39,399,1816,0.3119266055045872,0.8717948717948718,0.45945945945945954,0.7416240716208435
test,actual_high_regret,False,0.95,2254,39,399,1816,0.39080459770114945,0.8717948717948718,0.5396825396825398,0.7416240716208435
test,actual_high_regret,True,0.8,749,370,37,342,0.9634146341463414,0.8540540540540541,0.9054441260744985,0.988035790275518
test,actual_high_regret,True,0.9,749,370,37,342,0.9719626168224299,0.8432432432432433,0.9030390738060782,0.988035790275518
test,actual_high_regret,True,0.95,749,370,37,342,0.9779874213836478,0.8405405405405405,0.9040697674418604,0.988035790275518
test,actual_low_margin,False,0.8,1666,250,252,1164,0.7419354838709677,0.828,0.782608695652174,0.9208053252965865
test,actual_low_margin,False,0.9,1666,250,252,1164,0.796875,0.816,0.8063241106719369,0.9208053252965865
test,actual_low_margin,False,0.95,1666,250,252,1164,0.8458333333333333,0.812,0.8285714285714286,0.9208053252965865
test,actual_low_margin,True,0.8,1337,159,184,994,0.7606382978723404,0.89937106918239,0.8242074927953891,0.9339484970282007
test,actual_low_margin,True,0.9,1337,159,184,994,0.8160919540229885,0.8930817610062893,0.8528528528528528,0.9339484970282007
test,actual_low_margin,True,0.95,1337,159,184,994,0.8606060606060606,0.8930817610062893,0.8765432098765432,0.9339484970282007
test,actual_teacher_disagreement,False,0.8,1162,0,260,902,0.0,0.0,0.0,0.0
test,actual_teacher_disagreement,False,0.9,1162,0,260,902,0.0,0.0,0.0,0.0
test,actual_teacher_disagreement,False,0.95,1162,0,260,902,0.0,0.0,0.0,0.0
test,actual_teacher_disagreement,True,0.8,1841,409,176,1256,0.8793969849246231,0.8557457212713936,0.8674101610904584,0.9654045776783149
test,actual_teacher_disagreement,True,0.9,1841,409,176,1256,0.9010416666666666,0.8459657701711492,0.8726355611601514,0.9654045776783149
test,actual_teacher_disagreement,True,0.95,1841,409,176,1256,0.9274193548387096,0.843520782396088,0.8834827144686299,0.9654045776783149
holdout,c1e_split,enriched,0.8,4804,671,793,3340,0.7446524064171123,0.8301043219076006,0.7850599013389712,0.9142602575369764
holdout,c1e_split,enriched,0.9,4804,671,793,3340,0.8011695906432749,0.8166915052160953,0.8088560885608855,0.9142602575369764
holdout,c1e_split,enriched,0.95,4804,671,793,3340,0.8421052631578947,0.8107302533532041,0.8261199696279422,0.9142602575369764
holdout,c1e_split,unbiased,0.8,1202,144,44,1014,0.972027972027972,0.9652777777777778,0.9686411149825783,0.9972980582436479
holdout,c1e_split,unbiased,0.9,1202,144,44,1014,0.972027972027972,0.9652777777777778,0.9686411149825783,0.9972980582436479
holdout,c1e_split,unbiased,0.95,1202,144,44,1014,0.9928571428571429,0.9652777777777778,0.9788732394366197,0.9972980582436479
holdout,position,first,0.8,2984,359,426,2199,0.7657430730478589,0.8467966573816156,0.8042328042328042,0.9239907373819118
holdout,position,first,0.9,2984,359,426,2199,0.806970509383378,0.8384401114206128,0.8224043715846995,0.9239907373819118
holdout,position,first,0.95,2984,359,426,2199,0.8514285714285714,0.83008356545961,0.840620592383639,0.9239907373819118
holdout,position,second,0.8,3022,456,411,2155,0.7935222672064778,0.8596491228070176,0.8252631578947369,0.9423848379010427
holdout,position,second,0.9,3022,456,411,2155,0.8502202643171806,0.8464912280701754,0.8483516483516483,0.9423848379010427
holdout,position,second,0.95,3022,456,411,2155,0.8830275229357798,0.8442982456140351,0.8632286995515694,0.9423848379010427
holdout,source_bucket,from_pool,0.8,3602,311,749,2542,0.519280205655527,0.6495176848874598,0.5771428571428572,0.694534531890503
holdout,source_bucket,from_pool,0.9,3602,311,749,2542,0.5950920245398773,0.6237942122186495,0.609105180533752,0.694534531890503
holdout,source_bucket,from_pool,0.95,3602,311,749,2542,0.657439446366782,0.6109324758842444,0.6333333333333333,0.694534531890503
