split,gate_id,oracle_positive_count,runtime_fire_count,overlap_count,precision_vs_oracle,recall_vs_oracle,jaccard
test,m1.5_p0.8_k1,409,212,156,0.7358490566037735,0.38141809290953543,0.33548387096774196
test,m1.5_p0.8_k2,409,250,183,0.732,0.4474327628361858,0.38445378151260506
test,m1.5_p0.8_k3,409,263,189,0.7186311787072244,0.4621026894865526,0.391304347826087
test,m1.5_p0.8_k5,409,272,196,0.7205882352941176,0.4792176039119804,0.4041237113402062
test,m1.5_p0.85_k1,409,210,155,0.7380952380952381,0.37897310513447435,0.33405172413793105
test,m1.5_p0.85_k2,409,246,182,0.7398373983739838,0.4449877750611247,0.38477801268498946
test,m1.5_p0.85_k3,409,256,188,0.734375,0.45965770171149145,0.3941299790356394
test,m1.5_p0.85_k5,409,265,195,0.7358490566037735,0.4767726161369193,0.407098121085595
test,m1.5_p0.9_k1,409,205,154,0.751219512195122,0.3765281173594132,0.3347826086956522
test,m1.5_p0.9_k2,409,241,181,0.7510373443983402,0.44254278728606355,0.3859275053304904
test,m1.5_p0.9_k3,409,251,187,0.7450199203187251,0.4572127139364303,0.3953488372093023
test,m1.5_p0.9_k5,409,260,194,0.7461538461538462,0.4743276283618582,0.40842105263157896
test,m1.5_p0.95_k1,409,201,154,0.7661691542288557,0.3765281173594132,0.33771929824561403
test,m1.5_p0.95_k2,409,236,180,0.7627118644067796,0.4400977995110024,0.3870967741935484
test,m1.5_p0.95_k3,409,244,186,0.7622950819672131,0.4547677261613692,0.39828693790149894
test,m1.5_p0.95_k5,409,253,193,0.7628458498023716,0.4718826405867971,0.4115138592750533
test,m2_p0.8_k1,409,154,124,0.8051948051948052,0.30317848410757947,0.2824601366742597
test,m2_p0.8_k2,409,180,143,0.7944444444444444,0.34963325183374083,0.32062780269058294
test,m2_p0.8_k3,409,185,143,0.772972972972973,0.34963325183374083,0.3170731707317073
test,m2_p0.8_k5,409,189,145,0.7671957671957672,0.3545232273838631,0.3200883002207506
test,m2_p0.85_k1,409,152,123,0.8092105263157895,0.30073349633251834,0.2808219178082192
test,m2_p0.85_k2,409,176,142,0.8068181818181818,0.3471882640586797,0.32054176072234764
test,m2_p0.85_k3,409,179,142,0.7932960893854749,0.3471882640586797,0.3183856502242152
test,m2_p0.85_k5,409,183,144,0.7868852459016393,0.35207823960880197,0.32142857142857145
