split,gate_id,min_delta,safe_probability_threshold,candidate_ev_rank_max,rows,fires,fire_rate,avg_gain,median_gain,false_positive_count,false_positive_rate,p95_loss,p99_loss,max_loss,oracle_precision,oracle_recall,oracle_jaccard,hard_negative_fired,first_fires,second_fires
holdout,m2.75_p0.95_k1,2.75,0.95,1,6006,187,0.031135531135531136,5.197739332117499,4.16015625,7,0.0374331550802139,0.0,4.615713539123517,11.629940032958984,0.8502673796791443,0.1950920245398773,0.18861209964412812,2,83,104
holdout,m2.75_p0.9_k1,2.75,0.9,1,6006,192,0.03196803196803197,5.115895092487335,4.1279296875,9,0.046875,0.0,4.548460617065435,11.629940032958984,0.8333333333333334,0.19631901840490798,0.18890200708382526,3,87,105
holdout,m2.75_p0.85_k1,2.75,0.85,1,6006,196,0.03263403263403263,5.051657000366522,4.111201286315918,10,0.05102040816326531,0.11724591255187988,4.49465827941896,11.629940032958984,0.826530612244898,0.19877300613496932,0.19081272084805653,3,89,107
holdout,m2.75_p0.8_k1,2.75,0.8,1,6006,199,0.033133533133533136,4.993664380893036,4.029296875,11,0.05527638190954774,0.13337578773498324,4.454306526184096,11.629940032958984,0.8241206030150754,0.20122699386503068,0.19294117647058823,3,91,108
holdout,m2.75_p0.95_k2,2.75,0.95,2,6006,216,0.03596403596403597,4.9014241608480615,3.9910424947738647,10,0.046296296296296294,0.0,5.570705032348625,12.74428653717041,0.8472222222222222,0.2245398773006135,0.21580188679245282,2,91,125
holdout,m2.75_p0.9_k2,2.75,0.9,2,6006,221,0.0367965367965368,4.837023626220712,3.947265625,12,0.05429864253393665,0.15310999751091003,5.503452110290542,12.74428653717041,0.832579185520362,0.22576687116564417,0.215962441314554,3,95,126
holdout,m2.75_p0.95_k3,2.75,0.95,3,6006,219,0.036463536463536464,4.830467492069828,3.947265625,11,0.0502283105022831,0.015310999751090133,5.653927068710322,12.74428653717041,0.8401826484018264,0.22576687116564417,0.2164705882352941,2,92,127
holdout,m2.75_p0.95_k5,2.75,0.95,5,6006,222,0.03696303696303696,4.801670234616812,3.943126082420349,12,0.05405405405405406,0.14545449763536278,5.634170947074885,12.74428653717041,0.8378378378378378,0.2282208588957055,0.21856639247943596,3,93,129
holdout,m2.75_p0.85_k2,2.75,0.85,2,6006,226,0.03762903762903763,4.758160894027854,3.9175020456314087,14,0.061946902654867256,0.4966123700141907,5.436199188232422,12.74428653717041,0.8230088495575221,0.2282208588957055,0.21754385964912282,3,98,128
holdout,m2.75_p0.9_k3,2.75,0.9,3,6006,226,0.03762903762903763,4.724504486781306,3.890383005142212,14,0.061946902654867256,0.4966123700141907,5.607829451560974,12.74428653717041,0.8185840707964602,0.22699386503067484,0.2161214953271028,3,96,130
