split,gate_id,min_delta,safe_probability_threshold,candidate_ev_rank_max,rows,fires,fire_rate,avg_gain,median_gain,false_positive_count,false_positive_rate,p95_loss,p99_loss,max_loss,oracle_precision,oracle_recall,oracle_jaccard,hard_negative_fired,first_fires,second_fires
test,m1.5_p0.8_k1,1.5,0.8,1,3003,212,0.07059607059607059,3.218331602525036,2.747509479522705,17,0.08018867924528301,0.36166588813066186,3.9475863957404993,5.772463798522949,0.7358490566037735,0.38141809290953543,0.33548387096774196,3,110,102
test,m1.5_p0.8_k2,1.5,0.8,2,3003,250,0.08325008325008325,3.0570936522483825,2.6343493461608887,21,0.084,0.3878760799765542,4.340537085533138,6.614522933959961,0.732,0.4474327628361858,0.38445378151260506,4,121,129
test,m1.5_p0.8_k3,1.5,0.8,3,3003,263,0.08757908757908758,2.957058583715569,2.6015625,24,0.09125475285171103,0.8480220317840498,4.282468862533567,6.614522933959961,0.7186311787072244,0.4621026894865526,0.391304347826087,4,123,140
test,m1.5_p0.8_k5,1.5,0.8,5,3003,272,0.09057609057609058,2.9382120396065363,2.568359375,25,0.09191176470588236,0.6936965227127037,4.242267785072336,6.614522933959961,0.7205882352941176,0.4792176039119804,0.4041237113402062,5,127,145
test,m1.5_p0.85_k1,1.5,0.85,1,3003,210,0.06993006993006994,3.242883903781573,2.7602380514144897,16,0.0761904761904762,0.3878760799765542,3.961999127864835,5.772463798522949,0.7380952380952381,0.37897310513447435,0.33405172413793105,3,109,101
test,m1.5_p0.85_k2,1.5,0.85,2,3003,246,0.08191808191808192,3.1187135809805335,2.65763258934021,18,0.07317073170731707,0.22936830669641495,4.319760680198676,6.614522933959961,0.7398373983739838,0.4449877750611247,0.38477801268498946,4,120,126
test,m1.5_p0.85_k3,1.5,0.85,3,3003,256,0.08524808524808525,3.059258872177452,2.6422035694122314,19,0.07421875,0.3092455044388771,4.266505360603326,6.614522933959961,0.734375,0.45965770171149145,0.3941299790356394,4,121,135
test,m1.5_p0.85_k5,1.5,0.85,5,3003,265,0.08824508824508824,3.0364435416347577,2.6407084465026855,20,0.07547169811320754,0.4405649125575977,4.218575572967537,6.614522933959961,0.7358490566037735,0.4767726161369193,0.407098121085595,5,125,140
test,m1.5_p0.9_k1,1.5,0.9,1,3003,205,0.06826506826506827,3.3006647134699474,2.777848243713379,14,0.06829268292682927,0.23223865032195948,3.998030958175665,5.772463798522949,0.751219512195122,0.3765281173594132,0.3347826086956522,3,107,98
test,m1.5_p0.9_k2,1.5,0.9,2,3003,241,0.08025308025308026,3.1652870845992536,2.73046875,16,0.06639004149377593,0.18631315231323242,4.346388339996335,6.614522933959961,0.7510373443983402,0.44254278728606355,0.3859275053304904,4,118,123
test,m1.5_p0.9_k3,1.5,0.9,3,3003,251,0.08358308358308358,3.1027925009746475,2.66096830368042,17,0.06772908366533864,0.21501658856868744,4.293133020401001,6.614522933959961,0.7450199203187251,0.4572127139364303,0.3953488372093023,4,119,132
test,m1.5_p0.9_k5,1.5,0.9,5,3003,260,0.08658008658008658,3.0780314807708447,2.65763258934021,18,0.06923076923076923,0.25602283030747947,4.245203232765211,6.614522933959961,0.7461538461538462,0.4743276283618582,0.40842105263157896,5,123,137
test,m1.5_p0.95_k1,1.5,0.95,1,3003,201,0.06693306693306693,3.3555547006391175,2.8309478759765625,12,0.05970149253731343,0.18550968170166016,4.026856422424316,5.772463798522949,0.7661691542288557,0.3765281173594132,0.33771929824561403,2,104,97
test,m1.5_p0.95_k2,1.5,0.95,2,3003,236,0.07858807858807859,3.178378483501531,2.747509479522705,14,0.059322033898305086,0.1702863574028015,4.373015999794009,6.614522933959961,0.7627118644067796,0.4400977995110024,0.3870967741935484,3,114,122
test,m1.5_p0.95_k3,1.5,0.95,3,3003,244,0.08125208125208125,3.1412828764954552,2.6846410036087036,14,0.05737704918032787,0.16339662820100778,4.330411744117733,6.614522933959961,0.7622950819672131,0.4547677261613692,0.39828693790149894,3,115,129
