candidate_id,split,current_rows,current_fires,current_unbiased_rows,current_unbiased_fires,current_enriched_rows,current_enriched_fires,projected_c1e_fires_unbiased20k,projected_c1e_fires_enriched10k,projected_c1e_fires_total,current_false_positive_count,current_false_positive_rate,current_teacher_avg_gain,c1d_status,c1d_blockers
best_diagnostic_m2p5_r0_g0p7,val,3003,30,601,13,2402,17,432.61231281198,70.77435470441299,503.386667516393,22,0.7333333333333333,-1.868945026397705,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_15;false_positive_rate_gt_10pct
best_diagnostic_m2p5_r0_g0p7,test,3003,48,601,16,2402,32,532.4459234608985,133.22231473771856,665.668238198617,33,0.6875,-2.5438643445571265,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_15;false_positive_rate_gt_10pct;not_all_high_mc_lcb95_positive
best_diagnostic_m2p5_r0_g0p7,holdout,6006,78,1202,29,4804,49,482.52911813643925,101.99833472106577,584.5274528575051,55,0.7051282051282052,-2.2842799914188876,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_30;false_positive_rate_gt_10pct;not_all_high_mc_lcb95_positive
best_diagnostic_m2p5_r0_g0p7,all,20000,225,4000,60,16000,165,300.0,103.125,403.125,160,0.7111111111111111,-2.0665143479241266,,
confidence_lcb196_m2p5_r0_g0p7,val,3003,4,601,0,2402,4,0.0,16.65278934221482,16.65278934221482,0,0.0,2.8971216082572937,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_15
confidence_lcb196_m2p5_r0_g0p7,test,3003,7,601,0,2402,7,0.0,29.142381348875936,29.142381348875936,0,0.0,1.7283805097852434,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_15
confidence_lcb196_m2p5_r0_g0p7,holdout,6006,11,1202,0,4804,11,0.0,22.897585345545377,22.897585345545377,0,0.0,2.153377272865989,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_15
confidence_lcb196_m2p5_r0_g0p7,all,20000,33,4000,0,16000,33,0.0,20.625,20.625,0,0.0,1.6115787769808914,,
confidence_lcb164_m2p5_r0_g0p7,val,3003,4,601,0,2402,4,0.0,16.65278934221482,16.65278934221482,0,0.0,2.8971216082572937,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_15
confidence_lcb164_m2p5_r0_g0p7,test,3003,8,601,0,2402,8,0.0,33.30557868442964,33.30557868442964,0,0.0,1.5790744721889496,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_15
confidence_lcb164_m2p5_r0_g0p7,holdout,6006,12,1202,0,4804,12,0.0,24.979184013322232,24.979184013322232,0,0.0,2.0184235175450644,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_15
confidence_lcb164_m2p5_r0_g0p7,all,20000,36,4000,0,16000,36,0.0,22.5,22.5,0,0.0,1.5248470852772396,,
global_conservative_m3_r0_g0p9,val,3003,2,601,0,2402,2,0.0,8.32639467110741,8.32639467110741,2,1.0,-1.7275390625,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_15;source_biased;position_biased
global_conservative_m3_r0_g0p9,test,3003,4,601,0,2402,4,0.0,16.65278934221482,16.65278934221482,1,0.25,0.412109375,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_15;source_biased;position_biased
global_conservative_m3_r0_g0p9,holdout,6006,6,1202,0,4804,6,0.0,12.489592006661116,12.489592006661116,3,0.5,-0.3011067708333333,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_15;source_biased;position_biased
global_conservative_m3_r0_g0p9,all,20000,20,4000,0,16000,20,0.0,12.5,12.5,10,0.5,-0.2564453125,,
source_filtered_lcb196,val,3003,1,601,0,2402,1,0.0,4.163197335553705,4.163197335553705,0,0.0,8.659107208251953,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_15
source_filtered_lcb196,test,3003,5,601,0,2402,5,0.0,20.815986677768525,20.815986677768525,0,0.0,1.994334602355957,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_15
source_filtered_lcb196,holdout,6006,6,1202,0,4804,6,0.0,12.489592006661116,12.489592006661116,0,0.0,3.1051300366719565,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_15
source_filtered_lcb196,all,20000,14,4000,0,16000,14,0.0,8.75,8.75,0,0.0,2.361905574798584,,
position_specific_second_strict,val,3003,1,601,0,2402,1,0.0,4.163197335553705,4.163197335553705,0,0.0,8.659107208251953,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_15;source_biased;position_biased
position_specific_second_strict,test,3003,3,601,0,2402,3,0.0,12.489592006661116,12.489592006661116,0,0.0,1.1555989583333333,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_15
position_specific_second_strict,holdout,6006,4,1202,0,4804,4,0.0,8.32639467110741,8.32639467110741,0,0.0,3.0314760208129883,no_go,additional_20k_30k_teacher_cache_not_available;fires_lt_15;source_biased;position_biased
position_specific_second_strict,all,20000,11,4000,0,16000,11,0.0,6.875,6.875,0,0.0,1.991033293984153,,
