state_index,c1e_split,sample_id,source_group,position,replay_ready,missing_replay_fields,replay_packet_path,baseline_action_recoverable,candidate_action_recoverable,teacher_action_recoverable
0,unbiased,0,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:1,1,1,1
1,unbiased,1,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:2,1,1,1
2,unbiased,2,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:3,1,1,1
3,unbiased,3,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:4,1,1,1
4,unbiased,4,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:5,1,1,1
5,unbiased,5,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:6,1,1,1
6,unbiased,6,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:7,1,1,1
7,unbiased,7,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:8,1,1,1
8,unbiased,8,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:9,1,1,1
9,unbiased,9,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:10,1,1,1
10,unbiased,10,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:11,1,1,1
11,unbiased,11,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:12,1,1,1
12,unbiased,12,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:13,1,1,1
13,unbiased,13,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:14,1,1,1
14,unbiased,14,policy_on_distribution,first,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:15,1,1,1
15,unbiased,15,policy_on_distribution,second,1,,outputs\hu_turn2_stage8_20k_mc512\natural.jsonl:16,1,1,1
