state_index,split,c1e_split,run_bucket,bucket_group,source_bucket,source_group,position,seat,actual_high_regret,actual_low_margin,actual_teacher_disagreement,candidate_is_baseline,candidate_action_local_index,candidate_action_original_index,baseline_action_local_index,baseline_action_original_index,actual_delta_candidate_vs_baseline,candidate_loss,gain_stderr_proxy,teacher_delta_lcb_196,teacher_delta_lcb_164,high_mc_label_source,high_mc_delta_candidate_vs_baseline,high_mc_lower95_candidate_vs_baseline,high_mc_diagnosis,predicted_delta_vs_baseline,gate_probability,predicted_EV_margin_top1_top2,reference_margin_raw,safe_lcb196_label,safe_lcb164_label,safe_lcb196_gate_label_id,safe_lcb164_gate_label_id,hard_negative_label,gray_label,current_proxy_m2p5_g0p9_fired,stage8b_gate_weight,stage8b_priority_score,hard_negative_source,replay_ready
3995,test,unbiased,natural,natural,natural,policy_on_distribution,second,second,True,False,True,0,7,22,4,19,-0.3492259979248047,0.3492259979248047,0.7527731732053822,-1.8246614174073537,-1.5837740019816313,mc4096,0.09595301367187492,-0.4306475848849991,model_ranking_error,2.9093055725097656,0.9878197302367262,0.5352897644042969,0.03419348404636757,gray,gray,1,1,1,1,1,6.0,1003.2585315704346,high_mc_runtime_negative,1
4592,train,enriched,predicted_high_regret_from_pool,predicted_high_regret,from_pool,difficult_spots,first,first,True,True,True,0,21,23,12,13,-1.4399570226669312,1.4399570226669312,0.9354326076203279,-3.273404933602774,-2.9740664991642687,,,,,3.159036636352539,0.9985664965323917,0.06433963775634766,0.2145678928787511,negative,negative,0,0,1,0,1,6.0,1004.5989936590195,current_proxy_teacher_negative,1
5641,val,enriched,predicted_high_regret_from_pool,predicted_high_regret,from_pool,difficult_spots,second,second,False,False,False,0,2,12,0,15,-0.28577256202697754,0.28577256202697754,1.0758967947476414,-2.3945302797323547,-2.050243305413109,,,,,2.882290840148926,0.9442345729629265,2.4572715759277344,0.022602681801985547,negative,negative,0,0,1,0,1,6.0,1003.1680634021759,current_proxy_teacher_negative,1
5801,train,enriched,predicted_high_regret_from_pool,predicted_high_regret,from_pool,difficult_spots,second,second,True,False,True,0,21,23,20,9,-4.8738298416137695,4.8738298416137695,0.7975081071468495,-6.436945731621595,-6.181743137334602,,,,,3.5789761543273926,0.9898879667128954,0.9479169845581055,0.07803708403550935,negative,negative,0,0,1,0,1,6.0,1008.4528059959412,current_proxy_teacher_negative,1
5814,test,enriched,predicted_high_regret_from_pool,predicted_high_regret,from_pool,difficult_spots,second,second,False,True,True,0,4,21,1,4,-0.9510221481323242,0.9510221481323242,0.9711368784841949,-2.8544504299613465,-2.5436866288464035,mc4096,-0.9973514931640626,-1.6736325969303447,model_ranking_error,4.027044773101807,0.9901749278991393,0.9105491638183594,0.028204525785342938,negative,negative,0,0,1,0,1,6.0,1004.9780669212341,high_mc_runtime_negative,1
6669,val,enriched,predicted_high_regret_from_pool,predicted_high_regret,from_pool,difficult_spots,second,second,True,False,True,0,3,8,1,19,-1.0049433708190918,1.0049433708190918,1.201258385828466,-3.3594098070428853,-2.975007123577776,,,,,2.6595911979675293,0.9851410282453099,0.3476696014404297,0.03503724520867646,negative,negative,0,0,1,0,1,6.0,1003.6645345687866,current_proxy_teacher_negative,1
6881,test,enriched,predicted_high_regret_from_pool,predicted_high_regret,from_pool,difficult_spots,first,first,False,True,True,0,5,22,2,11,-1.4339394569396973,1.4339394569396973,1.1831671120574079,-3.752946996572217,-3.3743335207138463,mc4096,-1.160822049804688,-1.982349789078313,false_positive_gate,5.818506717681885,0.9969812326664993,0.015348434448242188,0.09162446366280719,negative,negative,0,0,1,0,1,6.0,1007.2524461746216,high_mc_runtime_negative,1
6889,test,enriched,predicted_high_regret_from_pool,predicted_high_regret,from_pool,difficult_spots,first,first,False,True,True,0,0,13,1,21,0.16521167755126953,0.0,1.1911008121388607,-2.1693459142408975,-1.7881936543564618,mc4096,-0.04287296679687458,-0.8722402670172925,low_margin_noise,3.9664292335510254,0.9496904796300776,0.2324509620666504,0.04147720584019332,gray,gray,1,1,1,1,1,6.0,1003.966429233551,high_mc_runtime_negative,1
7043,test,enriched,predicted_high_regret_from_pool,predicted_high_regret,from_pool,difficult_spots,second,second,True,False,True,0,3,10,2,3,-0.34566545486450195,0.34566545486450195,0.9776412281089955,-2.261842261958133,-1.9489970689632543,,,,,2.5094966888427734,0.9431700883971393,0.7650728225708008,0.05285566907275374,negative,negative,0,0,1,0,1,6.0,1002.8551621437073,current_proxy_teacher_negative,1
7409,train,enriched,predicted_high_regret_from_pool,predicted_high_regret,from_pool,difficult_spots,first,first,True,True,True,0,6,6,5,14,-0.3679165840148926,0.3679165840148926,1.030701246780875,-2.3880910277054075,-2.0582666287355273,,,,,2.8944239616394043,0.9794696996902116,1.5290889739990234,0.06072659476993181,negative,negative,0,0,1,0,1,6.0,1003.2623405456543,current_proxy_teacher_negative,1
7442,val,enriched,predicted_high_regret_from_pool,predicted_high_regret,from_pool,difficult_spots,first,first,False,False,True,0,2,12,1,4,-0.30974340438842773,0.30974340438842773,1.2818558070471107,-2.8221807862007644,-2.411986927945689,,,,,5.675039768218994,0.992662412879159,0.6345615386962891,0.20254251983161353,negative,negative,0,0,1,0,1,6.0,1005.9847831726074,current_proxy_teacher_negative,1
