group_field,group_value,rows,safe_lcb196_positive,safe_lcb196_gray,safe_lcb196_negative,hard_negative,current_proxy_fired,avg_teacher_gain
overall,all,20000,2917,15218,1865,15,961,0.5420933149087243
split,test,3003,409,2158,436,7,121,0.3497559501250813
split,train,13994,2102,10864,1028,4,738,0.615606301126724
split,val,3003,406,2196,401,4,102,0.3918596743195108
c1e_split,enriched,16000,2463,11820,1717,14,728,0.5179346031033201
c1e_split,unbiased,4000,454,3398,148,1,233,0.6387281621303409
bucket_group,natural,4000,454,3398,148,1,233,0.6387281621303409
bucket_group,predicted_high_regret,4000,540,2868,592,12,241,0.6511368591822684
bucket_group,predicted_low_margin,4000,376,3100,524,1,150,0.45077627183357255
bucket_group,predicted_teacher_disagreement,4000,314,3199,487,1,129,0.36121094187162817
bucket_group,random_off_policy,4000,1233,2653,114,0,208,0.6086143395258113
position,first,9936,1337,7650,949,9,404,0.522845612237104
position,second,10064,1580,7568,916,6,557,0.561096213730785
safe_lcb196_label,gray,15218,0,15218,0,2,36,0.231412337121699
safe_lcb196_label,negative,1865,0,0,1865,13,13,-1.1237605357777338
safe_lcb196_label,positive,2917,2917,0,0,0,912,3.2279899729454726
