state_index,split,c1e_split,run_bucket,bucket_group,source_bucket,source_group,position,seat,actual_high_regret,actual_low_margin,actual_teacher_disagreement,candidate_is_baseline,candidate_action_local_index,candidate_action_original_index,baseline_action_local_index,baseline_action_original_index,actual_delta_candidate_vs_baseline,candidate_loss,gain_stderr_proxy,teacher_delta_lcb_196,teacher_delta_lcb_164,high_mc_label_source,high_mc_delta_candidate_vs_baseline,high_mc_lower95_candidate_vs_baseline,high_mc_diagnosis,predicted_delta_vs_baseline,gate_probability,predicted_EV_margin_top1_top2,reference_margin_raw,safe_lcb196_label,safe_lcb164_label,safe_lcb196_gate_label_id,safe_lcb164_gate_label_id,hard_negative_label,gray_label,current_proxy_m2p5_g0p9_fired,stage8b_gate_weight,stage8b_priority_score,hard_negative_source,replay_ready
0,train,unbiased,natural,natural,natural,policy_on_distribution,first,first,False,False,False,1,0,17,0,17,0.0,0.0,0.9704942386487074,-1.9021687077514666,-1.59161055138388,,,,,0.7982120513916016,0.0008168073732752793,2.064352035522461,0.1016690263249691,gray,gray,1,1,0,1,0,0.15,-1.9021687077514666,,1
1,train,unbiased,natural,natural,natural,policy_on_distribution,second,second,False,False,True,1,1,10,1,10,0.0,0.0,1.0074774238674407,-1.9746557507801836,-1.6522629751426026,,,,,-1.0025365352630615,0.01951379166329639,1.9074535369873047,0.26571928996913563,gray,gray,1,1,0,1,0,0.15,-1.9746557507801836,,1
2,train,unbiased,natural,natural,natural,policy_on_distribution,first,first,True,False,True,0,1,3,3,0,1.282670021057129,0.0,0.9989776148807172,-0.6753261041090768,-0.3556532673472472,,,,,0.6199135780334473,0.0012447929109744205,0.22969675064086914,0.06129113779513151,gray,gray,1,1,0,1,0,0.15,-0.6753261041090768,,1
3,train,unbiased,natural,natural,natural,policy_on_distribution,second,second,False,False,False,1,0,5,0,5,0.0,0.0,0.8340084132419388,-1.6346564899542,-1.3677737977167794,,,,,-0.07493734359741211,0.000495511622355446,1.243936538696289,0.24905749904203756,gray,gray,1,1,0,1,0,0.15,-1.6346564899542,,1
4,val,unbiased,natural,natural,natural,policy_on_distribution,first,first,False,True,False,1,0,17,0,17,0.0,0.0,0.6672551236050113,-1.3078200422658222,-1.0942984027122185,,,,,-0.8729822635650635,0.00162540810108469,0.7361478805541992,0.11241918783364913,gray,gray,1,1,0,1,0,0.15,-1.3078200422658222,,1
5,test,unbiased,natural,natural,natural,policy_on_distribution,second,second,False,False,False,1,0,5,0,5,0.0,0.0,0.667909706309234,-1.3091030243660986,-1.0953719183471435,,,,,-0.38466787338256836,0.0008047033621758572,2.968447685241699,1.2620414048113275,gray,gray,1,1,0,1,0,0.15,-1.3091030243660986,,1
6,test,unbiased,natural,natural,natural,policy_on_distribution,first,first,True,False,True,0,2,5,5,6,1.776202917098999,0.0,0.9371041735471354,-0.06052126305338623,0.2393520724816971,,,,,1.0358901023864746,0.9895175830096881,0.9477353096008301,0.005262632267683642,gray,positive,1,2,0,1,0,0.15,249.93947873694663,,1
7,train,unbiased,natural,natural,natural,policy_on_distribution,second,second,False,False,False,1,0,0,0,0,0.0,0.0,0.960739772029346,-1.8830499531775182,-1.5756132261281273,,,,,-0.19745683670043945,0.00015333575113154213,6.660311222076416,2.172082580238343,gray,gray,1,1,0,1,0,0.15,-1.8830499531775182,,1
8,train,unbiased,natural,natural,natural,policy_on_distribution,first,first,False,True,False,1,0,13,0,13,0.0,0.0,1.1747323874421935,-2.3024754793866995,-1.9265611154051974,,,,,0.6417970657348633,0.003751897336153066,0.25701332092285156,0.01390095828313509,gray,gray,1,1,0,1,0,0.15,-2.3024754793866995,,1
9,train,unbiased,natural,natural,natural,policy_on_distribution,second,second,False,False,False,1,0,21,0,21,0.0,0.0,1.1291648164124581,-2.2131630401684177,-1.8518302989164312,,,,,-0.9329519271850586,0.00012986379689200356,9.153249740600586,1.2120313110596959,gray,gray,1,1,0,1,0,0.15,-2.2131630401684177,,1
10,train,unbiased,natural,natural,natural,policy_on_distribution,first,first,False,True,True,0,0,21,1,12,0.06606054306030273,0.0,0.9585093809416756,-1.8126178435853815,-1.5058948416840452,,,,,-0.22553539276123047,0.0020390955686437322,0.10184621810913086,0.19417963111553593,gray,gray,1,1,0,1,0,0.15,-1.8126178435853815,,1
11,train,unbiased,natural,natural,natural,policy_on_distribution,second,second,False,False,False,0,1,12,0,20,-0.601104736328125,0.601104736328125,0.9371183317971135,-2.4378566666504673,-2.1379788004753912,,,,,-0.12714529037475586,0.0008916371654340507,0.05520439147949219,0.06185142854554293,negative,negative,0,0,0,0,0,1.5,-2.4378566666504673,,1
12,train,unbiased,natural,natural,natural,policy_on_distribution,first,first,False,False,True,1,1,20,1,20,0.0,0.0,1.0935995354713284,-2.1434550895238034,-1.7935032381729785,,,,,-0.3911571502685547,0.0003514833290299098,0.03943204879760742,0.11149810668805671,gray,gray,1,1,0,1,0,0.15,-2.1434550895238034,,1
13,train,unbiased,natural,natural,natural,policy_on_distribution,second,second,False,False,False,1,0,6,0,6,0.0,0.0,1.061838429076792,-2.0812033209905123,-1.7414150236859387,,,,,-0.8179030418395996,0.00034640795809620607,0.6167802810668945,0.5086287971166952,gray,gray,1,1,0,1,0,0.15,-2.0812033209905123,,1
14,train,unbiased,natural,natural,natural,policy_on_distribution,first,first,False,False,False,1,0,13,0,13,0.0,0.0,1.0791434193131828,-2.115121101853838,-1.7697952076736196,,,,,-0.8224048614501953,0.00013393063781226558,4.382445335388184,2.407472102942884,gray,gray,1,1,0,1,0,0.15,-2.115121101853838,,1
15,train,unbiased,natural,natural,natural,policy_on_distribution,second,second,False,False,False,1,0,16,0,16,0.0,0.0,1.0571715085411806,-2.072056156740714,-1.733761274007536,,,,,-1.8450391292572021,0.00047010194109847785,5.484951019287109,1.5267136446244787,gray,gray,1,1,0,1,0,0.15,-2.072056156740714,,1
16,val,unbiased,natural,natural,natural,policy_on_distribution,first,first,False,False,False,1,0,6,0,6,0.0,0.0,1.01608254592791,-1.9915217900187034,-1.6663753753217723,,,,,0.19272279739379883,0.0002441981140405171,3.7049968242645264,1.1418966701404774,gray,gray,1,1,0,1,0,0.15,-1.9915217900187034,,1
17,train,unbiased,natural,natural,natural,policy_on_distribution,second,second,False,False,False,1,0,11,0,11,0.0,0.0,1.0305427924772097,-2.019863873255331,-1.6900901796626238,,,,,-0.12338685989379883,0.00033989377757400374,2.7132606506347656,0.6097184044321908,gray,gray,1,1,0,1,0,0.15,-2.019863873255331,,1
18,train,unbiased,natural,natural,natural,policy_on_distribution,first,first,False,False,False,1,0,14,0,14,0.0,0.0,0.9883658511164788,-1.9371970681882984,-1.6209199958310252,,,,,-0.6245217323303223,0.00011071817898606105,5.167947769165039,0.6531401031362032,gray,gray,1,1,0,1,0,0.15,-1.9371970681882984,,1
19,test,unbiased,natural,natural,natural,policy_on_distribution,second,second,False,True,True,0,0,19,1,11,0.01133584976196289,0.0,0.9937318699929685,-1.9363786154242553,-1.6183844170265054,,,,,-0.6398465633392334,0.0011882455672552821,0.04474973678588867,0.009308247763914146,gray,gray,1,1,0,1,0,0.15,-1.9363786154242553,,1
20,val,unbiased,natural,natural,natural,policy_on_distribution,first,first,True,False,True,0,0,3,3,0,2.157174587249756,0.0,1.00711417748659,0.1832307993760396,0.5055073361717484,,,,,0.6199135780334473,0.0012447929109744205,0.22969675064086914,0.06129113779513151,positive,positive,2,2,0,0,0,2.0,500.183230799376,,1
21,train,unbiased,natural,natural,natural,policy_on_distribution,second,second,False,False,False,1,0,5,0,5,0.0,0.0,0.850161361521133,-1.6663162685814206,-1.394264632894658,,,,,-0.07493734359741211,0.0004955120946782214,1.243936538696289,0.24905749904203756,gray,gray,1,1,0,1,0,0.15,-1.6663162685814206,,1
22,train,unbiased,natural,natural,natural,policy_on_distribution,first,first,False,True,False,1,0,17,0,17,0.0,0.0,0.6763800848950139,-1.3257049663942273,-1.1092633392278226,,,,,-0.8729822635650635,0.00162540810108469,0.7361478805541992,0.11241918783364913,gray,gray,1,1,0,1,0,0.15,-1.3257049663942273,,1
23,train,unbiased,natural,natural,natural,policy_on_distribution,second,second,False,False,False,1,0,5,0,5,0.0,0.0,0.5994312348695223,-1.1748852203442637,-0.9830672251860165,,,,,-0.38466787338256836,0.0008047033621758572,2.968447685241699,1.2620414048113275,gray,gray,1,1,0,1,0,0.15,-1.1748852203442637,,1
24,train,unbiased,natural,natural,natural,policy_on_distribution,first,first,True,True,True,0,1,5,3,6,1.506746530532837,0.0,0.892606547932553,-0.24276230341496685,0.04287179192345003,,,,,1.0358901023864746,0.9895175780636764,0.9477353096008301,0.005262632267683642,gray,positive,1,2,0,1,0,0.15,249.75723769658504,,1
25,test,unbiased,natural,natural,natural,policy_on_distribution,second,second,False,False,False,1,0,0,0,0,0.0,0.0,0.9743808524309879,-1.9097864707647363,-1.5979845979868201,,,,,-0.19745683670043945,0.00015333575113154213,6.660311222076416,2.172082580238343,gray,gray,1,1,0,1,0,0.15,-1.9097864707647363,,1
26,train,unbiased,natural,natural,natural,policy_on_distribution,first,first,False,False,True,1,1,13,1,13,0.0,0.0,1.1141950987583589,-2.183822393566383,-1.8272799619637083,,,,,0.6417970657348633,0.003751897336153066,0.25701332092285156,0.01390095828313509,gray,gray,1,1,0,1,0,0.15,-2.183822393566383,,1
