split,states,actions,ev_mae,ev_rmse,delta_vs_baseline_mae,delta_vs_reference_mae,avg_regret,p90_regret,p95_regret,p99_regret,top1_accuracy,top3_recall,pairwise_ranking_accuracy,calibration_corr_predicted_delta_teacher_delta,gate_accuracy_pos_neg,gate_eval_states,group
val:bucket:natural,601,14574,0.6960009140284182,0.8807522424695619,0.635951143683287,0.6401411478448706,0.06267041046042213,0.2281322479248047,0.42107129096984863,0.8765783309936523,0.7886855241264559,0.9667221297836939,0.8891698272229246,0.9633352228418576,0.9375,96,val:bucket:natural
val:bucket:predicted_high_regret,601,14385,2.05835784563965,2.7897418415647244,2.7521740567880473,2.7565759092654814,0.7975312706126448,2.329087257385254,3.3154983520507812,6.113223075866699,0.39267886855241263,0.7304492512479202,0.8103122043519394,0.5413257035937448,0.5829383886255924,211,val:bucket:predicted_high_regret
val:bucket:predicted_low_margin,600,14391,1.2722864307167547,1.726513794913059,1.6262160395606333,1.6303912143420176,0.439485353648779,1.2470473855733875,1.7606054872274393,4.3336998178251065,0.4633333333333333,0.8016666666666666,0.8299725076990242,0.6953066990166086,0.73125,160,val:bucket:predicted_low_margin
val:bucket:predicted_teacher_disagreement,600,14571,1.4060452427901955,1.904675207504019,1.795460523039749,1.799032019893177,0.40777799288315386,1.1167359799146657,2.117306172847747,5.837735188007354,0.5683333333333334,0.8366666666666667,0.8336685159500693,0.5339181689791899,0.8028169014084507,142,val:bucket:predicted_teacher_disagreement
val:bucket:random_off_policy,601,10974,0.4675838270385707,0.6706594999150978,0.46436135416743685,0.4675487825724734,0.06695263762144796,0.24609375,0.3874475955963135,0.825676441192627,0.697171381031614,0.9334442595673876,0.8540139106176842,0.9122715988825593,0.98989898989899,198,val:bucket:random_off_policy
test:bucket:natural,601,14559,0.6693395973769234,0.8501960809246076,0.6232760661213902,0.6264283005113629,0.07568403986203616,0.24287891387939453,0.4867115020751953,1.152960181236267,0.7670549084858569,0.9584026622296173,0.8894583528784957,0.9555569465951232,0.9565217391304348,92,test:bucket:natural
test:bucket:predicted_high_regret,601,14409,2.1341204021020808,2.896422249483316,2.802518880987928,2.8012216294428516,0.7847628044413896,2.2683733701705933,3.223926544189453,6.302143573760986,0.389351081530782,0.6788685524126455,0.8082181158815179,0.4608173034229217,0.5406698564593302,209,test:bucket:predicted_high_regret
test:bucket:predicted_low_margin,600,14439,1.3597878371830094,1.868102614057472,1.5776989111082504,1.574110027351168,0.4714375261597646,1.4166232466697704,2.4547237277030933,4.186887863129374,0.465,0.8016666666666666,0.8244990855039138,0.4213326353937026,0.75,180,test:bucket:predicted_low_margin
test:bucket:predicted_teacher_disagreement,600,14502,1.4029332075799517,1.937218016484661,1.8243125041860329,1.818020947822423,0.4803915363617125,1.4693142890930178,2.292651104927063,4.669850950241083,0.5383333333333333,0.83,0.8281567117743183,0.5628723686883934,0.7278481012658228,158,test:bucket:predicted_teacher_disagreement
test:bucket:random_off_policy,601,10668,0.44922943087312156,0.6199913573470721,0.4364446841662573,0.44027407336431856,0.06198176490561339,0.20235872268676758,0.3515625,0.6368310451507568,0.6472545757071547,0.930116472545757,0.8436774569557358,0.9187185208462295,0.970873786407767,206,test:bucket:random_off_policy
