state_index,split,predicted_delta,teacher_delta,teacher_best_delta,bucket_group,seat,pilot_gate_label
5,test,0.11232376098632812,0.0,0.0,natural,second,negative
6,test,1.5242676734924316,1.776202917098999,2.75345671875,natural,first,positive
19,test,-0.674630880355835,0.0,0.011335617187500091,natural,second,negative
25,test,-0.9080259799957275,0.0,0.0,natural,second,negative
34,test,-0.24934768676757812,0.0,0.0,natural,first,negative
40,test,-1.2318243980407715,-0.3921952247619629,0.0,natural,first,negative
42,test,1.5242676734924316,1.9812060594558716,1.9812060781249998,natural,first,gray
48,test,0.4186735153198242,0.0,0.9292123984375003,natural,first,gray
50,test,0.32477283477783203,0.0,0.0,natural,first,negative
68,test,0.32477283477783203,0.0,0.0,natural,first,negative
69,test,-1.9856045246124268,0.0,0.0,natural,second,negative
73,test,-0.674630880355835,0.0,0.0,natural,second,negative
74,test,1.1160082817077637,-0.18050336837768555,0.0,natural,first,negative
78,test,-0.25264501571655273,0.0,0.0,natural,first,negative
81,test,-2.0301828384399414,0.0,0.0,natural,second,negative
84,test,0.4186735153198242,0.0,0.6163667265625001,natural,first,gray
90,test,-0.7744841575622559,0.0,0.0,natural,first,negative
91,test,-0.674630880355835,0.0,0.23395440625000052,natural,second,gray
93,test,-0.4965672492980957,0.0,0.06483625781249991,natural,second,gray
101,test,-0.19384527206420898,0.0,0.0,natural,second,negative
103,test,-1.097141981124878,0.0,0.0,natural,second,negative
105,test,-1.9856045246124268,0.0,0.0,natural,second,negative
106,test,-0.24934768676757812,0.0,0.0,natural,first,negative
107,test,-0.5968303680419922,0.0,0.0,natural,second,negative
111,test,-0.4965672492980957,0.0,0.0,natural,second,negative
120,test,0.4186735153198242,0.0,0.8705437265625,natural,first,gray
126,test,-0.7744841575622559,0.0,0.0,natural,first,negative
131,test,2.7171921730041504,2.948460817337036,2.9484610078125,natural,second,positive
137,test,1.7642431259155273,1.9631524085998535,1.981534703125,natural,second,gray
138,test,0.08256340026855469,0.0,0.0,natural,first,negative
143,test,-0.5968303680419922,0.0,0.0,natural,second,negative
148,test,-0.2169322967529297,0.0,0.5734524843749997,natural,first,gray
152,test,-0.7748196125030518,0.0,0.0,natural,first,negative
160,test,-0.24934768676757812,0.0,0.0,natural,first,negative
164,test,1.1160082817077637,0.9287595748901367,0.9287594999999991,natural,first,gray
170,test,-0.7748196125030518,0.0,0.0,natural,first,negative
171,test,-0.8180146217346191,0.0,0.0,natural,second,negative
185,test,2.7171921730041504,3.239093542098999,3.2390935,natural,second,positive
189,test,-0.8180146217346191,0.0,0.0,natural,second,negative
190,test,1.3990554809570312,2.016324996948242,2.0163248671874996,natural,first,gray
227,test,1.7642431259155273,1.3991203308105469,1.3991203203125009,natural,second,gray
233,test,-0.6669619083404541,0.0,0.0,natural,second,negative
240,test,-0.25264501571655273,0.0,0.0,natural,first,negative
241,test,-0.11850786209106445,0.05667829513549805,0.11222382031249989,natural,second,gray
254,test,-0.03880929946899414,-0.01953125,0.01600813281250002,natural,first,negative
258,test,0.02676248550415039,0.0,0.0,natural,first,negative
264,test,0.08256340026855469,0.0,0.0,natural,first,negative
274,test,0.08593034744262695,0.0,0.0,natural,first,negative
281,test,1.7642431259155273,2.3939523696899414,2.3939522890625,natural,second,positive
288,test,-0.3957662582397461,0.0,0.0,natural,first,negative
291,test,-0.49634790420532227,0.0,0.484375,natural,second,gray
304,test,0.4286770820617676,-0.08203125,0.26321382031250007,natural,first,gray
305,test,-0.6669619083404541,0.0,0.0,natural,second,negative
311,test,-0.17531347274780273,0.0,0.0,natural,second,negative
315,test,2.286844253540039,2.345020294189453,2.8234610078125,natural,second,positive
318,test,0.7312569618225098,0.30621999502182007,0.30622003125,natural,first,gray
328,test,0.08593034744262695,0.0,0.0,natural,first,negative
329,test,-0.17531347274780273,0.0,0.0,natural,second,negative
342,test,-0.3957662582397461,0.0,0.0,natural,first,negative
343,test,0.46928930282592773,0.0,0.0,natural,second,negative
345,test,-0.49634790420532227,0.0,0.7132737578125001,natural,second,gray
346,test,0.08593034744262695,0.0,0.0,natural,first,negative
347,test,-0.17531347274780273,0.0,0.0,natural,second,negative
354,test,0.7312569618225098,1.1351113319396973,1.135111296875,natural,first,gray
369,test,2.286844253540039,0.3292742967605591,2.0645365703125,natural,second,positive
375,test,-0.3477602005004883,0.0,0.0,natural,second,negative
379,test,-0.09942150115966797,0.8429088592529297,0.8429088124999993,natural,second,gray
380,test,-0.03880929946899414,-0.09489941596984863,0.04534246875000014,natural,first,negative
394,test,1.8824591636657715,2.2750167846679688,2.2750160156250008,natural,first,positive
403,test,0.06082010269165039,0.0,0.0,natural,second,negative
418,test,0.1648869514465332,0.244140625,0.244140625,natural,first,gray
422,test,-0.6797511577606201,0.0,0.0,natural,first,negative
453,test,1.8109683990478516,1.3927736282348633,1.3927739531249994,natural,second,gray
470,test,0.5070157051086426,1.196883201599121,1.3952975156250016,natural,first,gray
478,test,0.20703506469726562,0.2210865020751953,0.4127257968749998,natural,first,gray
489,test,1.8109683990478516,0.7631769180297852,0.7631763593750005,natural,second,gray
490,test,0.1648869514465332,0.8175182342529297,0.817518187500001,natural,first,gray
497,test,0.3283967971801758,0.0,0.20902183593750046,natural,second,gray
498,test,-0.9953832626342773,-0.6569414138793945,0.0,natural,first,negative
501,test,-0.3477602005004883,0.0,0.0,natural,second,negative
503,test,-1.0663793087005615,0.0,0.0,natural,second,negative
506,test,0.5070157051086426,1.2816333770751953,1.837049437500001,natural,first,gray
509,test,8.432304382324219,8.521350860595703,8.521351578125,natural,second,positive
514,test,0.20703506469726562,0.4753379821777344,0.9525171015625009,natural,first,gray
538,test,-1.0270333290100098,0.0,0.0,natural,first,negative
543,test,1.8109683990478516,0.9205760955810547,0.9205757578125002,natural,second,gray
544,test,0.1648869514465332,0.193359375,0.2882962343750002,natural,first,gray
547,test,0.466738224029541,0.0,0.0,natural,second,negative
555,test,-1.8993947505950928,0.0,0.0,natural,second,negative
557,test,-0.11494159698486328,0.0,0.0,natural,second,negative
559,test,-0.1493687629699707,0.186004638671875,0.18600492968749993,natural,second,gray
561,test,1.8109683990478516,0.7518405914306641,0.7518407421875004,natural,second,gray
566,test,-0.41836023330688477,0.0,0.0,natural,first,negative
590,test,-0.04907798767089844,0.13671875,0.8947185546875001,natural,first,gray
599,test,2.4261221885681152,2.080827474594116,2.0808273437500002,natural,second,positive
602,test,-0.41836023330688477,0.0,0.0,natural,first,negative
616,test,3.0747690200805664,4.60317850112915,4.6031784765624995,natural,first,positive
620,test,-0.41836023330688477,0.0,0.0,natural,first,negative
630,test,0.2932415008544922,0.8929238319396973,1.0541545234375,natural,first,gray
632,test,-0.7172451019287109,0.0,0.0,natural,first,negative
648,test,0.2932415008544922,0.902306079864502,0.9023062890625004,natural,first,gray
653,test,2.4261221885681152,1.4192134141921997,1.4192134843750002,natural,second,gray
675,test,0.44069385528564453,0.0,1.560109234375,natural,second,gray
678,test,0.06203794479370117,0.0,0.04959439062499982,natural,first,negative
689,test,2.4261221885681152,2.2550384998321533,2.2550386015625,natural,second,positive
690,test,-0.18510913848876953,0.0,0.07655500781249991,natural,first,gray
692,test,0.7073507308959961,0.0,0.0,natural,first,negative
693,test,0.44069385528564453,0.0,1.699201703125,natural,second,gray
695,test,1.4172091484069824,0.5183444023132324,0.5183443906249999,natural,second,gray
701,test,-0.11494159698486328,0.0,0.0,natural,second,negative
723,test,0.586327075958252,0.4988217353820801,0.6057394999999999,natural,second,gray
726,test,-0.18510913848876953,0.0,0.119140625,natural,first,gray
739,test,-0.2285623550415039,0.4304542541503906,0.7342626171875004,natural,second,gray
749,test,1.4172091484069824,1.2772313356399536,1.2772313671874997,natural,second,gray
751,test,-0.9860601425170898,0.0,0.0,natural,second,negative
758,test,0.22859907150268555,-0.06598565727472305,0.65234375,natural,first,gray
764,test,0.7073507308959961,0.0,0.0,natural,first,negative
772,test,0.30703163146972656,0.4976634979248047,0.4976637421875001,natural,first,gray
779,test,2.537060260772705,2.3473105430603027,3.0820687109374996,natural,second,positive
788,test,0.26035451889038086,0.064453125,0.064453125,natural,first,gray
795,test,-0.17226076126098633,0.0,0.0,natural,second,negative
801,test,0.44069385528564453,0.0,0.4583509062500002,natural,second,gray
802,test,0.11478567123413086,0.0,0.0,natural,first,negative
804,test,0.06203794479370117,0.0,0.21832940624999964,natural,first,gray
805,test,-0.9860601425170898,0.0,0.0,natural,second,negative
808,test,0.30703163146972656,0.8886337280273438,0.8886344140624995,natural,first,gray
812,test,0.22859907150268555,0.14372751116752625,0.432406890625,natural,first,gray
814,test,-0.24686908721923828,0.0,0.0,natural,first,negative
816,test,2.5049052238464355,2.975600481033325,2.97560040625,natural,first,positive
817,test,1.0110588073730469,2.4531710147857666,2.4531709843750003,natural,second,gray
818,test,15.164112091064453,15.468154907226562,15.468155781250001,natural,first,positive
824,test,0.26035451889038086,0.06950879096984863,0.10236622656250005,natural,first,gray
826,test,0.30703163146972656,0.5586318969726562,0.5586312109375005,natural,first,gray
832,test,-0.24686908721923828,0.0,0.0,natural,first,negative
835,test,1.0110588073730469,1.5411739349365234,1.5411739921875,natural,second,gray
846,test,0.6097383499145508,0.4878692626953125,0.4878691796875003,natural,first,gray
850,test,-0.24686908721923828,0.0,0.0,natural,first,negative
861,test,0.3782939910888672,0.20392870903015137,0.20392872656249983,natural,second,gray
867,test,-0.17226076126098633,0.0,0.0,natural,second,negative
868,test,-0.24686908721923828,0.0,0.0,natural,first,negative
873,test,-0.5350003242492676,0.0,0.0,natural,second,negative
880,test,0.30703163146972656,-0.0018787384033203125,0.18401434375000036,natural,first,gray
885,test,-0.17226076126098633,0.0,0.0,natural,second,negative
892,test,-0.19737911224365234,0.0,0.0,natural,first,negative
903,test,-0.17226076126098633,0.0,0.0,natural,second,negative
911,test,5.060859203338623,7.014184474945068,7.014184437499999,natural,second,positive
915,test,0.8438196182250977,2.430994987487793,2.4309952656250005,natural,second,positive
919,test,-1.1651520729064941,0.0,0.0,natural,second,negative
