split,states,actions,ev_mae,ev_rmse,delta_vs_baseline_mae,delta_vs_reference_mae,avg_regret,p90_regret,p95_regret,p99_regret,top1_accuracy,top3_recall,pairwise_ranking_accuracy,calibration_corr_predicted_delta_teacher_delta,gate_accuracy_pos_neg,gate_eval_states,group
val:margin:lt_0_05,381,8628,1.1237187143933334,1.695159003674635,1.3373912114731614,1.340065122941249,0.28769985573693835,0.8278627395629883,1.3595709800720215,2.691077613830559,0.35958005249343833,0.7532808398950132,0.8295600301321335,0.6500670963664599,0.8421052631578947,95,val:margin:lt_0_05
val:margin:0_05_0_10,286,6561,1.1444055820677432,1.6854916014543615,1.4096456421387302,1.4108376295831424,0.29102626169699575,0.7456773556768894,1.3435417413711548,3.5855218857526703,0.3881118881118881,0.7517482517482518,0.8399191618358772,0.45262726656111885,0.8412698412698413,63,val:margin:0_05_0_10
val:margin:0_10_0_25,616,14016,1.1688251112800114,1.745257267530128,1.3638171549106974,1.368578298317192,0.28347279582446283,0.7408380508422852,1.2653557136654854,2.6478119850158692,0.45292207792207795,0.8198051948051948,0.8355366009229961,0.6448145549460046,0.8222222222222222,135,val:margin:0_10_0_25
val:margin:0_25_0_50,526,11970,1.2016433555522348,1.7861635677899914,1.3857461647076863,1.3933365285953658,0.4033756435037849,1.0372824668884277,1.73794424533844,4.17990317940712,0.5361216730038023,0.8517110266159695,0.8392156862745098,0.28414052563287273,0.7041420118343196,169,val:margin:0_25_0_50
val:margin:0_50_1_00,452,10407,1.2653193916791488,1.8405013611548566,1.5578528125957425,1.56199009791575,0.40497323020724,1.1704701423645023,1.8134304285049436,4.6270052409172076,0.6814159292035398,0.8827433628318584,0.8481904745980923,0.4779060751243495,0.835820895522388,134,val:margin:0_50_1_00
val:margin:ge_1_00,742,17313,1.3020982140033863,1.9284704141655566,1.7799280365028078,1.7822357313546628,0.40820467224921353,1.709996163845062,2.6899693325161915,6.140879518985758,0.8504043126684636,0.9568733153638814,0.8556604388387866,0.8378166448414106,0.7819905213270142,211,val:margin:ge_1_00
test:margin:lt_0_05,405,9069,1.1034152805353357,1.6793424393116683,1.3898045875919534,1.3878056028598424,0.26326499517366037,0.8757812500000002,1.4770819574594496,2.948200402259825,0.2938271604938272,0.7407407407407407,0.8211273510857166,0.3829307975402903,0.8,95,test:margin:lt_0_05
test:margin:0_05_0_10,322,7311,1.2328669029932442,1.8930819952423836,1.2629667643150395,1.264837850590437,0.2988533755035504,0.8326084136962892,1.158034014701843,3.216962388157857,0.33540372670807456,0.7608695652173914,0.8326425491135602,0.6639352013469834,0.8470588235294118,85,test:margin:0_05_0_10
test:margin:0_10_0_25,610,14019,1.2795496813922895,1.9499085564026437,1.5072005838011586,1.5041406941536035,0.382561990667562,1.1032193183898928,2.140818828344344,3.8416407155990564,0.4360655737704918,0.7704918032786885,0.8326267762348173,0.4929943814796266,0.7730061349693251,163,test:margin:0_10_0_25
test:margin:0_25_0_50,486,10926,1.256162764997916,1.843925911624046,1.3273906589393818,1.327904147289812,0.35657920805380944,1.0802887380123138,1.645365226548165,2.9997571691870646,0.5679012345679012,0.8374485596707819,0.8314175005460326,0.5590673479648464,0.7777777777777778,162,test:margin:0_25_0_50
test:margin:0_50_1_00,419,9432,1.1839798290299866,1.7820245952350102,1.378219866938336,1.3737990652160454,0.3542958654725573,1.0753448665142058,1.6160431385040237,3.1562853249907477,0.7064439140811456,0.9045346062052506,0.8489912789609612,0.5910016593914563,0.7698412698412699,126,test:margin:0_50_1_00
test:margin:ge_1_00,761,17820,1.3140655100947678,1.955409507778855,1.8450485005094666,1.8455213212645136,0.48293514406790716,1.8270587921142578,2.95492821931839,5.455330848693837,0.8160315374507228,0.9474375821287779,0.8533289354973274,0.7480979868938739,0.719626168224299,214,test:margin:ge_1_00
