split,hu_turn2_min_margin,hu_turn2_reference_min_margin,evaluated_states,override_count,override_rate,teacher_avg_gain_on_override,false_positive_count,false_positive_rate,p95_loss,p99_loss,first_override_count,second_override_count,first_false_positive_count,second_false_positive_count,bucket_override_counts,bucket_false_positive_counts
test,5.0,10.0,3003,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,{},{}
test,5.0,15.0,3003,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,{},{}
test,5.0,20.0,3003,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,{},{}
test,5.0,25.0,3003,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,{},{}
test,8.0,10.0,3003,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,{},{}
test,8.0,15.0,3003,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,{},{}
test,8.0,20.0,3003,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,{},{}
test,8.0,25.0,3003,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,{},{}
test,10.0,10.0,3003,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,{},{}
test,10.0,15.0,3003,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,{},{}
test,10.0,20.0,3003,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,{},{}
test,10.0,25.0,3003,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,{},{}
test,12.0,10.0,3003,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,{},{}
test,12.0,15.0,3003,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,{},{}
test,12.0,20.0,3003,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,{},{}
test,12.0,25.0,3003,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,{},{}
